Track	Title	Authors	Acceptance_Status
Dialog and Interactive Systems	Effectiveness of Pre-training for Few-shot Intent Classification	Haode Zhang, Yuwei Zhang, Li-Ming Zhan, Jiaxin Chen, Guangyuan Shi, Xiao-Ming Wu and Albert Y.S. Lam	Accept-Findings
Dialog and Interactive Systems	Simulated Chats for Building Dialog Systems: Learning to Generate Conversations from Instructions	Biswesh Mohapatra, Gaurav Pandey, Danish Contractor and Sachindra Joshi	Accept-Findings
Dialog and Interactive Systems	Combining Curriculum Learning and Knowledge Distillation for Dialogue Generation	Qingqing Zhu, Xiuying Chen, Pengfei Wu, JunFei Liu and Dongyan Zhao	Accept-Findings
Dialog and Interactive Systems	Improving End-to-End Task-Oriented Dialog System with A Simple Auxiliary Task	Yohan Lee	Accept-Findings
Dialog and Interactive Systems	Generalization in Text-based Games via Hierarchical Reinforcement Learning	Yunqiu Xu, Meng Fang, Ling Chen, Yali Du and Chengqi Zhang	Accept-Findings
Dialog and Interactive Systems	Improving Dialogue State Tracking with Turn-based Loss Function and Sequential Data Augmentation	Jarana Manotumruksa, Jeff Dalton, Edgar Meij and Emine Yilmaz	Accept-Findings
Dialog and Interactive Systems	TIAGE: A Benchmark for Topic-Shift Aware Dialog Modeling	Huiyuan Xie, Zhenghao Liu, Chenyan Xiong, Zhiyuan Liu and Ann Copestake	Accept-Findings
Dialog and Interactive Systems	Enhancing Visual Dialog Questioner with Entity-based Strategy Learning and Augmented Guesser	Duo Zheng, Zipeng Xu, Fandong Meng, Xiaojie Wang, Jiaan Wang and Jie Zhou	Accept-Findings
Dialog and Interactive Systems	Span Pointer Networks for Non-Autoregressive Task-Oriented Semantic Parsing	Akshat Shrivastava, Pierce Chuang, Arun Babu, Shrey Desai, Abhinav Arora, Alexander Zotov and Ahmed Aly	Accept-Findings
Dialog and Interactive Systems	An Explicit-Joint and Supervised-Contrastive Learning Framework for Few-Shot Intent Classification and Slot Filling	Han Liu, Feng Zhang, Xiaotong Zhang, Siyang Zhao and Xianchao Zhang	Accept-Findings
Dialog and Interactive Systems	Speaker Turn Modeling for Dialogue Act Classiﬁcation	Zihao He, Leili Tavabi, Kristina Lerman and Mohammad Soleymani	Accept-Findings
Dialog and Interactive Systems	Constructing Emotional Consensus and Utilizing Unpaired Data for Empathetic Dialogue Generation	Lei Shen, Jinchao Zhang, Jiao Ou, Xiaofang Zhao and Jie Zhou	Accept-Findings
Dialog and Interactive Systems	An animated picture says at least a thousand words: Selecting Gif-based Replies in Multimodal Dialog	Xingyao Wang and David Jurgens	Accept-Findings
Dialog and Interactive Systems	Distilling the Knowledge of Large-scale Generative Models into Retrieval Models for Efficient Open-domain Conversation	Beomsu Kim, Seokjun Seo, Seungju Han, Enkhbayar Erdenee and Buru Chang	Accept-Findings
Dialog and Interactive Systems	Retrieval Augmentation Reduces Hallucination in Conversation	Kurt Shuster, Spencer Poff, Moya Chen, Douwe Kiela and Jason Weston	Accept-Findings
Dialog and Interactive Systems	Probing Commonsense Explanation in Dialogue Response Generation	Pei Zhou, Pegah Jandaghi, Hyundong Cho, Bill Yuchen Lin, Jay Pujara and Xiang Ren	Accept-Findings
Dialog and Interactive Systems	FCM: A Fine-grained Comparison Model for Multi-turn Dialogue Reasoning	Xu Wang, Hainan Zhang, Shuai Zhao, Yanyan Zou, Hongshen Chen, Zhuoye Ding, Bo Cheng and Yanyan Lan	Accept-Findings
Dialog and Interactive Systems	Task-Oriented Clustering for Dialogues	chenxu lv, Hengtong Lu, Shuyu Lei, Huixing Jiang, Wei Wu, Caixia Yuan and Xiaojie Wang	Accept-Findings
Dialog and Interactive Systems	Contextualize Knowledge Bases with Transformer for End-to-end Task-Oriented Dialogue Systems	Yanjie Gou, Yinjie Lei, Lingqiao Liu, Yong Dai and Chunxu Shen	Accept-Oral
Dialog and Interactive Systems	Efficient Dialogue Complementary Policy Learning via Deep Q-network Policy and Episodic Memory Policy	Yangyang Zhao, Zhenyu Wang, Changxi Zhu and Shihan Wang	Accept-Oral
Dialog and Interactive Systems	CRFR: Improving Conversational Recommender Systems via Flexible Fragments Reasoning on Knowledge Graphs	Jinfeng Zhou, Bo Wang, Ruifang He and Yuexian Hou	Accept-Oral
Dialog and Interactive Systems	Conversational Multi-Hop Reasoning with Neural Commonsense Knowledge and Symbolic Logic Rules	Forough Arabshahi, Jennifer Lee, Antoine Bosselut, Yejin Choi and Tom Mitchell	Accept-Oral
Dialog and Interactive Systems	Towards Automatic Evaluation of Dialog Systems: A Model-Free Off-Policy Evaluation Approach	Haoming Jiang, Bo Dai, Mengjiao Yang, Tuo Zhao and Wei Wei	Accept-Oral
Dialog and Interactive Systems	Detecting Speaker Personas from Conversational Texts	Jia-Chen Gu, Zhenhua Ling, Yu Wu, Quan Liu, Zhigang Chen and Xiaodan Zhu	Accept-Oral
Dialog and Interactive Systems	DuRecDial 2.0: A Bilingual Parallel Corpus for Conversational Recommendation	Zeming Liu, Haifeng Wang, Zheng-Yu Niu, Hua Wu and Wanxiang Che	Accept-Oral
Dialog and Interactive Systems	Towards Incremental Transformers: An Empirical Analysis of Transformer Models for Incremental NLU	Patrick Kahardipraja, Brielen Madureira and David Schlangen	Accept-Oral
Dialog and Interactive Systems	Feedback Attribution for Counterfactual Bandit Learning in Multi-Domain Spoken Language Understanding	Tobias Falke and Patrick Lehnen	Accept-Oral
Dialog and Interactive Systems	CR-Walker: Tree-Structured Graph Reasoning and Dialog Acts for Conversational Recommendation	Wenchang Ma, Ryuichi Takanobu and Minlie Huang	Accept-Oral
Dialog and Interactive Systems	Cross-lingual Intermediate Fine-tuning improves Dialogue State Tracking	Nikita Moghe, Mark Steedman and Alexandra Birch	Accept-Oral
Dialog and Interactive Systems	ConvAbuse: Data, Analysis, and Benchmarks for Nuanced Detection in Conversational AI	Amanda Cercas Curry, Gavin Abercrombie and Verena Rieser	Accept-Oral
Dialog and Interactive Systems	Contextual Rephrase Detection for Reducing Friction in Dialogue Systems	Zhuoyi Wang, Saurabh Gupta, Jie Hao, Xing Fan, Dingcheng Li, Alexander Hanbo Li and Chenlei Guo	Accept-Oral
Dialog and Interactive Systems	Few-Shot Intent Detection via Contrastive Pre-Training and Fine-Tuning	Jianguo Zhang, Trung Bui, Seunghyun Yoon, Xiang Chen, Zhiwei Liu, Congying Xia, Quan Hung Tran, Walter Chang and Philip Yu	Accept-Oral
Dialog and Interactive Systems	DIALKI: Knowledge Identification in Conversational Systems through Dialogue-Document Contextualization	Zeqiu Wu, Bo-Ru Lu, Hannaneh Hajishirzi and Mari Ostendorf	Accept-Oral
Dialog and Interactive Systems	Investigating Robustness of Dialog Models to Popular Figurative Language Constructs	Harsh Jhamtani, Varun Gangal, Eduard Hovy and Taylor Berg-Kirkpatrick	Accept-Oral
Dialog and Interactive Systems	Iconary: A Pictionary-Based Game for Testing Multimodal Communication with Drawings and Text	Christopher Clark, Jordi Salvador, Dustin Schwenk, Derrick Bonafilia, Mark Yatskar, Eric Kolve, Alvaro Herrasti, Jonghyun Choi, Sachin Mehta, Sam Skjonsberg, Carissa Schoenick, Aaron Sarnat, Hannaneh Hajishirzi, Aniruddha Kembhavi, Oren Etzioni and Ali Farhadi	Accept-Oral
Dialog and Interactive Systems	Self-training Improves Pre-training for Few-shot Learning in Task-oriented Dialog Systems	Fei Mi, Wanhao Zhou, Lingjing Kong, Fengyu Cai, Minlie Huang and Boi Faltings	Accept-Oral
Dialog and Interactive Systems	Continual Learning in Task-Oriented Dialogue Systems	Andrea Madotto, Zhaojiang Lin, Zhenpeng Zhou, Seungwhan Moon, Paul Crook, Bing Liu, Zhou Yu, Eunjoon Cho, Pascale Fung and Zhiguang Wang	Accept-Oral
Dialog and Interactive Systems	Effective Sequence-to-Sequence Dialogue State Tracking	Jeffrey Zhao, Mahdis Mahdieh, Ye Zhang, Yuan Cao and Yonghui Wu	Accept-Oral
Dialog and Interactive Systems	{ConvFiT:} {C}onversational Fine-Tuning of Pretrained Language Models	Ivan Vulić, Pei-Hao Su, Samuel Coope, Daniela Gerz, Paweł Budzianowski, Iñigo Casanueva, Nikola Mrkšić and Tsung-Hsien Wen	Accept-Oral
Dialog and Interactive Systems	Multi-Modal Open-Domain Dialogue	Kurt Shuster, Eric Smith, Da Ju and Jason Weston	Accept-Poster
Dialog and Interactive Systems	Learning Neural Templates for Recommender Dialogue System	Zujie Liang, Huang Hu, Can Xu, Jian Miao, Yingying He, Yining Chen, Xiubo Geng, Fan Liang and Daxin Jiang	Accept-Poster
Dialog and Interactive Systems	Neural Path Hunter: Reducing Hallucination in Dialogue Systems via Path Grounding	Nouha Dziri, Andrea Madotto, Osmar Zaïane and Avishek Joey Bose	Accept-Poster
Dialog and Interactive Systems	Thinking Clearly, Talking Fast: Concept-Guided Non-Autoregressive Generation for Open-Domain Dialogue Systems	Yicheng Zou, Zhihua Liu, Xingwu Hu and Qi Zhang	Accept-Poster
Dialog and Interactive Systems	Perspective-taking and Pragmatics for Generating Empathetic Responses Focused on Emotion Causes	Hyunwoo Kim, Byeongchang Kim and Gunhee Kim	Accept-Poster
Dialog and Interactive Systems	Generation and Extraction Combined Dialogue State Tracking with Hierarchical Ontology Integration	Xinmeng Li, Qian Li, Wansen Wu and Quanjun Yin	Accept-Poster
Dialog and Interactive Systems	A Label-Aware BERT Attention Network for Zero-Shot Multi-Intent Detection in Spoken Language Understanding	Ting-Wei Wu, Ruolin Su and Biing Juang	Accept-Poster
Dialog and Interactive Systems	Proxy Indicators for the Quality of Open-domain Dialogues	Rostislav Nedelchev, Jens Lehmann and Ricardo Usbeck	Accept-Poster
Dialog and Interactive Systems	CoLV: A Collaborative Latent Variable Model for Knowledge-Grounded Dialogue Generation	Haolan Zhan, Lei Shen, Hongshen Chen and Hainan Zhang	Accept-Poster
Dialog and Interactive Systems	GOLD: Improving Out-of-Scope Detection in Dialogues using Data Augmentation	Derek Chen and Zhou Yu	Accept-Poster
Dialog and Interactive Systems	{A} {T}hree-{S}tage {L}earning {F}ramework for {L}ow-{R}esource {K}nowledge-{G}rounded {D}ialogue {G}eneration	Shilei Liu, Xiaofeng Zhao, Bochao Li, Feiliang Ren, Longhui Zhang and Shujuan Yin	Accept-Poster
Dialog and Interactive Systems	$Q^{2}$: {E}valuating Factual Consistency in Knowledge-Grounded Dialogues via Question Generation and Question Answering	Or Honovich, Leshem Choshen, Roee Aharoni, Ella Neeman, Idan Szpektor and Omri Abend	Accept-Poster
Dialog and Interactive Systems	Learning from Multiple Noisy Augmented Data Sets for Better Cross-Lingual Spoken Language Understanding	Yingmei Guo, Linjun Shou, Jian Pei, Ming Gong, Mingxing Xu, Zhiyong Wu and Daxin Jiang	Accept-Poster
Dialog and Interactive Systems	Intention Reasoning Network for Multi-Domain End-to-end Task-Oriented Dialogue	Zhiyuan Ma, Jianjun Li, Zezheng Zhang, Guohui Li and Yongjing Cheng	Accept-Poster
Dialog and Interactive Systems	More is Better: Enhancing Open-Domain Dialogue Generation via Multi-Source Heterogeneous Knowledge	Sixing Wu, Ying Li, Minghui Wang, Dawei Zhang, Yang Zhou and Zhonghai Wu	Accept-Poster
Dialog and Interactive Systems	Domain-Lifelong Learning for Dialogue State Tracking via Knowledge Preservation Networks	Qingbin Liu, Pengfei Cao, Cao Liu, Jiansong Chen, Xunliang Cai, Fan Yang, Shizhu He, Kang Liu and Jun Zhao	Accept-Poster
Dialog and Interactive Systems	Different Strokes for Different Folks: Investigating Appropriate Further Pre-training Approaches for Diverse Dialogue Tasks	Yao Qiu, Jinchao Zhang and Jie Zhou	Accept-Poster
Dialog and Interactive Systems	Graph Based Network with Contextualized Representations of Turns in Dialogue	Bongseok Lee and Yong Suk Choi	Accept-Poster
Dialog and Interactive Systems	Zero-Shot Dialogue Disentanglement by Self-Supervised Entangled Response Selection	Ta-Chung Chi and Alexander Rudnicky	Accept-Poster
Dialog and Interactive Systems	Knowledge Enhanced Fine-Tuning for Better Handling Unseen Entities in Dialogue Generation	Leyang Cui, Yu Wu, Shujie Liu and Yue Zhang	Accept-Poster
Dialog and Interactive Systems	Automatically Exposing Problems with Neural Dialog Models	Dian Yu and Kenji Sagae	Accept-Poster
Dialog and Interactive Systems	An Evaluation Dataset and Strategy for Building Robust Multi-turn Response Selection Model	Kijong Han, Seojin Lee and Dong-hun Lee	Accept-Poster
Dialog and Interactive Systems	Knowledge-Aware Graph-Enhanced GPT-2 for Dialogue State Tracking	Weizhe Lin, Bo-Hsiang Tseng and Bill Byrne	Accept-Poster
Dialog and Interactive Systems	A Collaborative Multi-agent Reinforcement Learning Framework for Dialog Action Decomposition	Huimin Wang and Kam-Fai Wong	Accept-Poster
Dialog and Interactive Systems	SIMMC 2.0: A Task-oriented Dialog Dataset for Immersive Multimodal Conversations	Satwik Kottur, Seungwhan Moon, Alborz Geramifard and Babak Damavandi	Accept-Poster
Dialog and Interactive Systems	Unsupervised Conversation Disentanglement through Co-Training	Hui Liu, Zhan Shi and Xiaodan Zhu	Accept-Poster
Dialog and Interactive Systems	RAST: Domain-Robust Dialogue Rewriting as Sequence Tagging	Jie Hao, Linfeng Song, Liwei Wang, Kun Xu, Zhaopeng Tu and Dong Yu	Accept-Poster
Dialog and Interactive Systems	Zero-Shot Dialogue State Tracking via Cross-Task Transfer	Zhaojiang Lin, Bing Liu, Andrea Madotto, Seungwhan Moon, Zhenpeng Zhou, Paul Crook, Zhiguang Wang, Zhou Yu, Eunjoon Cho, Rajen Subba and Pascale Fung	Accept-Poster
Dialog and Interactive Systems	MRF-Chat: Improving Dialogue with Markov Random Fields	Ishaan Grover, Matthew Huggins, Cynthia Breazeal and Hae Won Park	Accept-Poster
Dialog and Interactive Systems	Dialogue State Tracking with a Language Model using Schema-Driven Prompting	Chia-Hsuan Lee, Hao Cheng and Mari Ostendorf	Accept-Poster
Dialog and Interactive Systems	Transferable Persona-Grounded Dialogues via Grounded Minimal Edits	Chen Henry Wu, Yinhe Zheng, Xiaoxi Mao and Minlie Huang	Accept-Poster
Dialog and Interactive Systems	EARL: Informative Knowledge-Grounded Conversation Generation with Entity-Agnostic Representation Learning	Hao Zhou, Minlie Huang, Yong Liu, Wei Chen and Xiaoyan Zhu	Accept-Poster
Dialog and Interactive Systems	Uncertainty Measures in Neural Belief Tracking and the Effects on Dialogue Policy Performance	Carel van Niekerk, Andrey Malinin, Christian Geishauser, Michael Heck, Hsien-chin Lin, Nurul Lubis, Shutong Feng and Milica Gasic	Accept-Poster
Dialog and Interactive Systems	DialogueCSE: Dialogue-based Contrastive Learning of Sentence Embeddings	Che Liu, Rui Wang, Jinghua Liu, Jian Sun, Fei Huang and Luo Si	Accept-Poster
Dialog and Interactive Systems	MindCraft: Theory of Mind Modeling for Situated Dialogue in Collaborative Tasks	Cristian-Paul Bara, Sky CH-Wang and Joyce Chai	Accept-Oral
Dialog and Interactive Systems	"It doesn't look good for a date": Transforming Critiques into Preferences for Conversational Recommendation Systems	Victor Bursztyn, Jennifer Healey, Nedim Lipka, Eunyee Koh, Doug Downey and Larry Birnbaum	Accept-Oral
Dialog and Interactive Systems	Refine and Imitate: Reducing Repetition and Inconsistency in Persuasion Dialogues via Reinforcement Learning and Human Demonstration	Weiyan Shi, Yu Li, Saurav Sahay and Zhou Yu	Accept-Findings
Dialog and Interactive Systems	NUANCED: Natural Utterance Annotation for Nuanced Conversation with Estimated Distributions	Zhiyu Chen, Honglei Liu, Hu Xu, Seungwhan Moon, Hao Zhou and Bing Liu	Accept-Findings
Dialog and Interactive Systems	We've had this conversation before: A Novel Approach to Measuring Dialog Similarity	Ofer Lavi, Ella Rabinovich, Segev Shlomov, David Boaz, Inbal Ronen and Ateret Anaby Tavor	Accept-Oral
Dialog and Interactive Systems	End-to-End Learning of Flowchart Grounded Task-Oriented Dialogs	Dinesh Raghu, Shantanu Agarwal, Sachindra Joshi and Mausam -	Accept-Oral
Dialog and Interactive Systems	Multilingual and Cross-Lingual Intent Detection from Spoken Data	Daniela Gerz, Pei-Hao Su, Razvan Kusztos, Avishek Mondal, Michał Lis, Eshan Singhal, Nikola Mrkšić, Tsung-Hsien Wen and Ivan Vulić	Accept-Oral
Dialog and Interactive Systems	CSAGN: Conversational Structure Aware Graph Network for Conversational Semantic Role Labeling	Han Wu, Kun Xu and Linqi Song	Accept-Poster
Dialog and Interactive Systems	Don't be Contradicted with Anything! CI-ToD: Towards Benchmarking Consistency for Task-oriented Dialogue System	Libo Qin, Tianbao Xie, Shijue Huang, Qiguang Chen, Xiao Xu and Wanxiang Che	Accept-Poster
Discourse and Pragmatics	End-to-end Neural Information Status Classification	Yufang Hou	Accept-Findings
Discourse and Pragmatics	{P}rofiling News Discourse Structure Using Explicit Subtopic Structures Guided Critics	Prafulla Kumar Choubey and Ruihong Huang	Accept-Findings
Discourse and Pragmatics	When in Doubt: Improving Classification Performance with Alternating Normalization	Menglin Jia, Austin Reiter, Ser-Nam Lim, Yoav Artzi and Claire Cardie	Accept-Findings
Discourse and Pragmatics	A Neural Graph-based Local Coherence Model	Mohsen Mesgar, Leonardo F. R. Ribeiro and Iryna Gurevych	Accept-Findings
Discourse and Pragmatics	Textual Time Travel: A Temporally Informed Approach to Theory of Mind	Akshatha Arodi and Jackie Chi Kit Cheung	Accept-Findings
Discourse and Pragmatics	Understanding Politics via Contextualized Discourse Processing	Rajkumar Pujari and Dan Goldwasser	Accept-Oral
Discourse and Pragmatics	Conundrums in Event Coreference Resolution: Making Sense of the State of the Art	Jing Lu and Vincent Ng	Accept-Oral
Discourse and Pragmatics	Weakly supervised discourse segmentation for multiparty oral conversations	Lila Gravellier, Julie Hunter, Philippe Muller, Thomas Pellegrini and Isabelle Ferrané	Accept-Oral
Discourse and Pragmatics	Narrative Embedding: {R}e-{C}ontextualization Through Attention	Sean Wilner, Daniel Woolridge and Madeleine Glick	Accept-Oral
Discourse and Pragmatics	Focus on what matters: Applying Discourse Coherence Theory to Cross Document Coreference	William Held, Dan Iter and Dan Jurafsky	Accept-Oral
Discourse and Pragmatics	Salience-Aware Event Chain Modeling for Narrative Understanding	Xiyang Zhang, Muhao Chen and Jonathan May	Accept-Oral
Discourse and Pragmatics	{E}vent Coreference Data (Almost) for Free: {M}ining Hyperlinks from Online News	Michael Bugert and Iryna Gurevych	Accept-Poster
Discourse and Pragmatics	Improving Graph-based Sentence Ordering with Iteratively Predicted Pairwise Orderings	Shaopeng Lai, Ante Wang, Fandong Meng, Jie Zhou, Yubin Ge, Jiali Zeng, Junfeng Yao, Degen Huang and Jinsong Su	Accept-Poster
Discourse and Pragmatics	A Language Model-based Generative Classifier for Sentence-level Discourse Parsing	Ying Zhang, Hidetaka Kamigaito and Manabu Okumura	Accept-Poster
Discourse and Pragmatics	Inducing Stereotypical Character Roles from Plot Structure	Labiba Jahan, Rahul Mittal and Mark Finlayson	Accept-Poster
Discourse and Pragmatics	Dynamic Forecasting of Conversation Derailment	Yova Kementchedjhieva and Anders Søgaard	Accept-Poster
Discourse and Pragmatics	Signed Coreference Resolution	Kayo Yin, Kenneth DeHaan and Malihe Alikhani	Accept-Poster
Discourse and Pragmatics	Multitask Semi-Supervised Learning for Class-Imbalanced Discourse Classification	Alexander Spangher, Jonathan May, Sz-Rung Shiang and Lingjia Deng	Accept-Poster
Discourse and Pragmatics	Post-Editing Extractive Summaries by Definiteness Prediction	Jad Kabbara and Jackie Chi Kit Cheung	Accept-Findings
Efficient Methods for NLP	When Attention Meets Fast Recurrence: Training Language Models with Reduced Compute	Tao Lei	Accept-Oral
Efficient Methods for NLP	Improving Privacy Guarantee and Efficiency of Latent Dirichlet Allocation Model Training Under Differential Privacy	Tao Huang and Hong Chen	Accept-Findings
Efficient Methods for NLP	{C}ascade{BERT}: Accelerating Inference of Pre-trained Language Models via Calibrated Complete Models Cascade	Lei Li, Yankai Lin, Deli Chen, Shuhuai Ren, Peng Li, Jie Zhou and Xu Sun	Accept-Findings
Efficient Methods for NLP	How to Select One Among All ? An Empirical Study Towards the Robustness of Knowledge Distillation in Natural Language Understanding	Tianda Li, Ahmad Rashid, Aref Jafari, Pranav Sharma, Ali Ghodsi and Mehdi Rezagholizadeh	Accept-Findings
Efficient Methods for NLP	{E}fficient{BERT}: Progressively Searching Multilayer Perceptron via Warm-up Knowledge Distillation	Chenhe Dong, Guangrun Wang, Hang Xu, Jiefeng Peng, Xiaozhe Ren and Xiaodan Liang	Accept-Findings
Efficient Methods for NLP	BERT might be Overkill: A Tiny but Effective Biomedical Entity Linker based on Residual Convolutional Neural Networks	Tuan Lai, Heng Ji and ChengXiang Zhai	Accept-Findings
Efficient Methods for NLP	Conical Classification For Efficient One-Class Topic Determination	Sameer Khanna	Accept-Findings
Efficient Methods for NLP	UnClE: Explicitly Leveraging Semantic Similarity to Reduce the Parameters of Word Embeddings	Zhi Li, Yuchen Zhai, Chengyu Wang, Minghui Qiu, Kailiang Li and Yin Zhang	Accept-Findings
Efficient Methods for NLP	Learning Numeracy: A Simple Yet Effective Number Embedding Approach Using Knowledge Graph	Hanyu Duan, Yi Yang and Kar Yan Tam	Accept-Findings
