	id	title	area	source	year	doi	abstract	semantic_scholar_id	track	citation_count	marius_themes	vagrant_themes
378	main.2705	Dataset Cartography: Mapping and Diagnosing Datasets with Training Dynamics	Interpretability and Analysis of Models for NLP	EMNLP	2020	10.18653/v1/2020.emnlp-main.746	Large datasets have become commonplace in NLP research. However, the increased emphasis on data quantity has made it challenging to assess the quality of data. We introduce Data Maps---a model-based tool to characterize and diagnose datasets. We leverage a largely ignored source of information: the behavior of the model on individual instances during training (training dynamics) for building data maps. This yields two intuitive measures for each example---the model's confidence in the true class, and the variability of this confidence across epochs---obtained in a single run of training. Experiments on four datasets show that these model-dependent measures reveal three distinct regions in the data map, each with pronounced characteristics. First, our data maps show the presence of "ambiguous" regions with respect to the model, which contribute the most towards out-of-distribution generalization. Second, the most populous regions in the data are "easy to learn" for the model, and play an important role in model optimization. Finally, data maps uncover a region with instances that the model finds "hard to learn"; these often correspond to labeling errors. Our results indicate that a shift in focus from quantity to quality of data could lead to robust models and improved out-of-distribution generalization.	ee5fff85d3ec62698eddba162f054b7e73670b2a	Interpretability and Analysis	331	training dynamics, data maps, data analysis, model analysis, novel tool, analysis, evaluation	training dynamics, data maps, data analysis, model analysis, novel tool, analysis, evaluation
3175		Intrinsic Dimensionality Explains the Effectiveness of Language Model Fine-Tuning	Interpretability and Analysis of Models for NLP	ACL	2021	10.18653/v1/2021.acl-long.568	Although pretrained language models can be fine-tuned to produce state-of-the-art results for a very wide range of language understanding tasks, the dynamics of this process are not well understood, especially in the low data regime. Why can we use relatively vanilla gradient descent algorithms (e.g., without strong regularization) to tune a model with hundreds of millions of parameters on datasets with only hundreds or thousands of labeled examples? In this paper, we argue that analyzing fine-tuning through the lens of intrinsic dimension provides us with empirical and theoretical intuitions to explain this remarkable phenomenon. We empirically show that common pre-trained models have a very low intrinsic dimension; in other words, there exists a low dimension reparameterization that is as effective for fine-tuning as the full parameter space. For example, by optimizing only 200 trainable parameters randomly projected back into the full space, we can tune a RoBERTa model to achieve 90% of the full parameter performance levels on MRPC. Furthermore, we empirically show that pre-training implicitly minimizes intrinsic dimension and, perhaps surprisingly, larger models tend to have lower intrinsic dimension after a fixed number of pre-training updates, at least in part explaining their extreme effectiveness. Lastly, we connect intrinsic dimensionality with low dimensional task representations and compression based generalization bounds to provide intrinsic-dimension-based generalization bounds that are independent of the full parameter count.	e54ffc76d805c48660bb0fd20019ca82ac94ba0d	Interpretability and Analysis	288	effectiveness, fine-tuning, dimensionality, understanding, analysis	effectiveness, fine-tuning, dimensionality, understanding, analysis
391	main.2763	AutoPrompt: Eliciting Knowledge from Language Models with Automatically Generated Prompts	Interpretability and Analysis of Models for NLP	EMNLP	2020	10.18653/v1/2020.emnlp-main.346	The remarkable success of pretrained language models has motivated the study of what kinds of knowledge these models learn during pretraining. Reformulating tasks as fill-in-the-blanks problems (e.g., cloze tests) is a natural approach for gauging such knowledge, however, its usage is limited by the manual effort and guesswork required to write suitable prompts. To address this, we develop AutoPrompt, an automated method to create prompts for a diverse set of tasks, based on a gradient-guided search. Using AutoPrompt, we show that masked language models (MLMs) have an inherent capability to perform sentiment analysis and natural language inference without additional parameters or finetuning, sometimes achieving performance on par with recent state-of-the-art supervised models. We also show that our prompts elicit more accurate factual knowledge from MLMs than the manually created prompts on the LAMA benchmark, and that MLMs can be used as relation extractors more effectively than supervised relation extraction models. These results demonstrate that automatically generated prompts are a viable parameter-free alternative to existing probing methods, and as pretrained LMs become more sophisticated and capable, potentially a replacement for finetuning.	b68b2e81ae2de647394ec05ee62ecf108bf2b50a	Interpretability and Analysis	263	prompting, knowledge, novel method, parameter-efficient methods, evaluation	prompting, knowledge, novel method, parameter-efficient methods, evaluation
737	main.947	Information-Theoretic Probing with Minimum Description Length	Interpretability and Analysis of Models for NLP	EMNLP	2020	10.18653/v1/2020.emnlp-main.14	To measure how well  pretrained representations encode some linguistic property, it is common to use accuracy of a probe, i.e. a classifier  trained to predict the  property from the representations. Despite widespread adoption of probes, differences in their accuracy fail to adequately reflect  differences in representations.  For example, they do not substantially favour pretrained representations over randomly initialized ones. Analogously, their accuracy can be similar when probing for genuine linguistic labels and probing for random synthetic tasks. To see reasonable differences in accuracy with respect to these random baselines, previous work had to constrain either the amount of probe training data or its model size. Instead, we propose an alternative to the standard probes, information-theoretic probing with minimum description length (MDL). With MDL probing, training a probe to predict labels is recast as teaching it to effectively transmit the data. Therefore, the measure of interest changes from probe accuracy to the description length of labels given representations. In addition to probe quality, the description length evaluates "the amount of effort" needed to achieve the quality. This amount of effort characterizes either (i) size of a probing model, or (ii) the amount of data needed to achieve the high quality. We consider two methods for estimating MDL which can be easily implemented on top of the standard probing pipelines: variational coding and online coding. We show that these methods agree in results and are more informative and stable than the standard probes.	f4b585c9a79dfce0807b445a09036ea0f9cbcdce	Interpretability and Analysis	241	information theory, probing, novel method, linguistics	information theory, probing, novel method, linguistics
4671	1845	Knowledge Neurons in Pretrained Transformers	Interpretability and Analysis of Models for NLP	ACL	2022	10.18653/v1/2022.acl-long.581	Large-scale pretrained language models are surprisingly good at recalling factual knowledge presented in the training corpus. In this paper, we present preliminary studies on how factual knowledge is stored in pretrained Transformers by introducing the concept of knowledge neurons. Specifically, we examine the fill-in-the-blank cloze task for BERT. Given a relational fact, we propose a knowledge attribution method to identify the neurons that express the fact. We find that the activation of such knowledge neurons is positively correlated to the expression of their corresponding facts. In our case studies, we attempt to leverage knowledge neurons to edit (such as update, and erase) specific factual knowledge without fine-tuning. Our results shed light on understanding the storage of knowledge within pretrained Transformers.	2c871df72c52b58f05447fcb3afc838168d94505	Interpretability and Analysis	238	factual knowledge, neuron analysis, analysis, novel method, attribution analysis, model editing	factual knowledge, neuron analysis, analysis, novel method, attribution analysis, model editing
1283	main.491	Evaluating Explainable AI: Which Algorithmic Explanations Help Users Predict Model Behavior?	Interpretability and Analysis of Models for NLP	ACL	2020	10.18653/v1/2020.acl-main.491	Algorithmic approaches to interpreting machine learning models have proliferated in recent years. We carry out human subject tests that are the first of their kind to isolate the effect of algorithmic explanations on a key aspect of model interpretability, simulatability, while avoiding important confounding experimental factors. A model is simulatable when a person can predict its behavior on new inputs. Through two kinds of simulation tests involving text and tabular data, we evaluate five explanations methods: (1) LIME, (2) Anchor, (3) Decision Boundary, (4) a Prototype model, and (5) a Composite approach that combines explanations from each method. Clear evidence of method effectiveness is found in very few cases: LIME improves simulatability in tabular classification, and our Prototype method is effective in counterfactual simulation tests. We also collect subjective ratings of explanations, but we do not find that ratings are predictive of how helpful explanations are. Our results provide the first reliable and comprehensive estimates of how explanations influence simulatability across a variety of explanation methods and data domains. We show that (1) we need to be careful about the metrics we use to evaluate explanation methods, and (2) there is significant room for improvement in current methods.	cffd8f947ba03644f62baea31c64c8920b06288e	Interpretability and Analysis	234	explainability, evaluation, humans, effectiveness, analysis, methods evaluation, human evaluation	explainability, evaluation, humans, effectiveness, analysis, methods evaluation, human evaluation
4774	144	FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation	Language Modeling and Analysis of Language Models	EMNLP	2023	10.18653/v1/2023.emnlp-main.741	Evaluating the factuality of long-form text generated by large language models (LMs) is non-trivial because (1) generations often contain a mixture of supported and unsupported pieces of information, making binary judgments of quality inadequate, and (2) human evaluation is time-consuming and costly. In this paper, we introduce FACTSCORE, a new evaluation that breaks a generation into a series of atomic facts and computes the percentage of atomic facts supported by a reliable knowledge source. We conduct an extensive human evaluation to obtain FACTSCOREs of people biographies generated by several state-of-the-art commercial LMs -- InstructGPT, ChatGPT, and the retrieval-augmented PerplexityAI -- and report new analysis demonstrating the need for such a fine-grained score (e.g., ChatGPT only achieves 58%). Since human evaluation is costly, we also introduce an automated model that estimates FACTSCORE using retrieval and a strong language model, with less than a 2% error rate. Finally, we use this automated metric to evaluate 6,500 generations from a new set of 13 recent LMs that would have cost $26K if evaluated by humans, with various findings: GPT-4 and ChatGPT are more factual than public models, and Vicuna and Alpaca are some of the best public models. FACTSCORE is available for public use via `pip install factscore`.	bd5deadc58ee45b5e004378ba1d54a96bc947b4a	Interpretability and Analysis	213	evaluation, novel metric, factual knowledge, generation	evaluation, novel metric, factual knowledge, generation
261	main.2179	COGS: A Compositional Generalization Challenge Based on Semantic Interpretation	Interpretability and Analysis of Models for NLP	EMNLP	2020	10.18653/v1/2020.emnlp-main.731	Natural language is characterized by compositionality: the meaning of a complex expression is constructed from the meanings of its constituent parts. To facilitate the evaluation of the compositional abilities of language processing architectures, we introduce COGS, a semantic parsing dataset based on a fragment of English. The evaluation portion of COGS contains multiple systematic gaps that can only be addressed by compositional generalization; these include new combinations of familiar syntactic structures, or new combinations of familiar words and familiar structures. In experiments with Transformers and LSTMs, we found that in-distribution accuracy on the COGS test set was near-perfect (96--99%), but generalization accuracy was substantially lower (16--35%) and showed high sensitivity to random seed (+-6--8%). These findings indicate that contemporary standard NLP models are limited in their compositional generalization capacity, and position COGS as a good way to measure progress.	b20ddcbd239f3fa9acc603736ac2e4416302d074	Interpretability and Analysis	207	novel dataset, parsing, compositional generalization	novel dataset, compositional generalization, parsing
1893		Masked Language Modeling and the Distributional Hypothesis: Order Word Matters Pre-training for Little	Interpretability and Analysis of Models for NLP	EMNLP	2021	10.18653/v1/2021.emnlp-main.230	A possible explanation for the impressive performance of masked language model (MLM) pre-training is that such models have learned to represent the syntactic structures prevalent in classical NLP pipelines. In this paper, we propose a different explanation: MLMs succeed on downstream tasks almost entirely due to their ability to model higher-order word co-occurrence statistics. To demonstrate this, we pre-train MLMs on sentences with randomly shuffled word order, and show that these models still achieve high accuracy after fine-tuning on many downstream tasks—including tasks specifically designed to be challenging for models that ignore word order. Our models perform surprisingly well according to some parametric syntactic probes, indicating possible deficiencies in how we test representations for syntactic information. Overall, our results show that purely distributional information largely explains the success of pre-training, and underscore the importance of curating challenging evaluation datasets that require deeper linguistic knowledge.	4e00843bc5f60d2b9116abc4320af6d184422291	Interpretability and Analysis	197	distributional hypothesis, training dynamics, word order, probing, linguistics, analysis, pre-training, fine-tuning	distributional hypothesis, training dynamics, word order, probing, linguistics, analysis, pre-training, fine-tuning
4898	851	CodeT5+: Open Code Large Language Models for Code Understanding and Generation	Language Modeling and Analysis of Language Models	EMNLP	2023	10.18653/v1/2023.emnlp-main.68	Large language models (LLMs) pretrained on vast source code have achieved prominent progress in code intelligence. However, existing code LLMs have two main limitations in terms of architecture and pretraining tasks. First, they often adopt a specific architecture (encoder-only or decoder-only) or rely on a unified encoder-decoder network for different downstream tasks. The former paradigm is limited by inflexibility in applications while in the latter, the model is treated as a single system for all tasks, leading to suboptimal performance on a subset of tasks. Secondly, they often employ a limited set of pretraining objectives which might not be relevant to some downstream tasks and hence result in substantial performance degrade. To address these limitations, we propose ``CodeT5+'', a family of encoder-decoder LLMs for code in which component modules can be flexibly combined to suit a wide range of downstream code tasks. Such flexibility is enabled by our proposed mixture of pretraining objectives to mitigate the pretrain-finetune discrepancy. These objectives cover span denoising, contrastive learning, text-code matching, and causal LM pretraining tasks, on both unimodal and bimodal multilingual code corpora. Furthermore, we propose to initialize CodeT5+ with frozen off-the-shelf LLMs without training from scratch to efficiently scale up our models, and explore instruction-tuning to align with natural language instructions. We extensively evaluate CodeT5+ on over 20 code-related benchmarks in different settings, including zero-shot, finetuning, and instruction-tuning. We observe state-of-the-art (SoTA) model performance on various code-related tasks, such as code generation and completion, math programming, and text-to-code retrieval tasks. Particularly, our instruction-tuned CodeT5+ 16B achieves new SoTA results on HumanEval code generation task against other open code LLMs.	9ada8fa11b1cdece31f253acae50b62df8d5f823	Interpretability and Analysis	193	generation, code, novel model, evaluation	generation, code, novel model, evaluation
1444	main.420	Information-Theoretic Probing for Linguistic Structure	Interpretability and Analysis of Models for NLP	ACL	2020	10.18653/v1/2020.acl-main.420	The success of neural networks on a diverse set of NLP tasks has led researchers to question how much these networks actually ``know'' about natural language. Probes are a natural way of assessing this. When probing, a researcher chooses a linguistic task and trains a supervised model to predict annotations in that linguistic task from the network's learned representations. If the probe does well, the researcher may conclude that the representations encode knowledge related to the task. A commonly held belief is that using simpler models as probes is better; the logic is that simpler models will identify linguistic structure, but not learn the task itself. We propose an information-theoretic operationalization of probing as estimating mutual information that contradicts this received wisdom: one should always select the highest performing probe one can, even if it is more complex, since it will result in a tighter estimate, and thus reveal more of the linguistic information inherent in the representation. The experimental portion of our paper focuses on empirically estimating the mutual information between a linguistic property and BERT, comparing these estimates to several baselines. We evaluate on a set of ten typologically diverse languages often underrepresented in NLP research---plus English---totalling eleven languages. Our implementation is available in https://github.com/rycolab/info-theoretic-probing.	738c6d664aa6c3854e1aa894957bd595f621fc42	Interpretability and Analysis	185	probing, linguistics, information theory, novel method	probing, linguistics, information theory, novel method
1558	main.432	Learning to Deceive with Attention-Based Explanations	Interpretability and Analysis of Models for NLP	ACL	2020	10.18653/v1/2020.acl-main.432	Attention mechanisms are ubiquitous components in neural architectures applied to natural language processing. In addition to yielding gains in predictive accuracy, attention weights are often claimed to confer interpretability, purportedly useful both for providing insights to practitioners and for explaining why a model makes its decisions to stakeholders. We call the latter use of attention mechanisms into question by demonstrating a simple method for training models to produce deceptive attention masks. Our method diminishes the total weight assigned to designated impermissible tokens, even when the models can be shown to nevertheless rely on these features to drive predictions. Across multiple models and tasks, our approach manipulates attention weights while paying surprisingly little cost in accuracy. Through a human study, we show that our manipulated attention-based explanations deceive people into thinking that predictions from a model biased against gender minorities do not rely on the gender. Consequently, our results cast doubt on attention’s reliability as a tool for auditing algorithms in the context of fairness and accountability.	cf2fcb73e2effff29ceb5a5b89bbca34d2d27c1a	Interpretability and Analysis	172	attention analysis, explanation, analysis, adversarial evaluation, reliability, novel method	attention analysis, explanation, analysis, adversarial evaluation, reliability, novel method
741	main.958	A Diagnostic Study of Explainability Techniques for Text Classification	Interpretability and Analysis of Models for NLP	EMNLP	2020	10.18653/v1/2020.emnlp-main.263	Recent developments in machine learning have introduced models that approach human performance at the cost of increased architectural complexity. Efforts to make the rationales behind the models' predictions transparent have inspired an abundance of new explainability techniques. Provided with an already trained model, they compute saliency scores for the words of an input instance. However, there exists no definitive guide on (i) how to choose such a technique given a particular application task and model architecture, and (ii) the benefits and drawbacks of using each such technique. In this paper, we develop a comprehensive list of diagnostic properties for evaluating existing explainability techniques. We then employ the proposed list to compare a set of diverse explainability techniques on downstream text classification tasks and neural network architectures. We also compare the saliency scores assigned by the explainability techniques with human annotations of salient input regions to find relations between a model's performance and the agreement of its rationales with human ones. Overall, we find that the gradient-based explanations perform best across tasks and model architectures, and we present further insights into the properties of the reviewed explainability techniques.	ae06bc1e8e67c27b89329ebcfe61b71625d853f6	Interpretability and Analysis	170	diagnostics, explainability, classification, evaluation, saliency scores, explanations, methods evaluation	diagnostics, explainability, classification, evaluation, saliency scores, explanations, methods evaluation
2979		Amnesic Probing: Behavioral Explanation With Amnesic Counterfactuals	Interpretability and Analysis of Models for NLP	ACL	2021	10.1162/tacl_a_00359	Abstract A growing body of work makes use of probing in order to investigate the working of neural models, often considered black boxes. Recently, an ongoing debate emerged surrounding the limitations of the probing paradigm. In this work, we point out the inability to infer behavioral conclusions from probing results, and offer an alternative method that focuses on how the information is being used, rather than on what information is encoded. Our method, Amnesic Probing, follows the intuition that the utility of a property for a given task can be assessed by measuring the influence of a causal intervention that removes it from the representation. Equipped with this new analysis tool, we can ask questions that were not possible before, for example, is part-of-speech information important for word prediction? We perform a series of analyses on BERT to answer these types of questions. Our findings demonstrate that conventional probing performance is not correlated to task importance, and we call for increased scrutiny of claims that draw behavioral or causal conclusions from probing results.1	1d7f3297924a9dd90cfc0df522ebe9138c28b46f	Interpretability and Analysis	170	counterfactuals, novel method, probing, causality, representation analysis	counterfactuals, novel method, probing, causality, representation analysis
267	main.2215	When BERT Plays the Lottery, All Tickets Are Winning	Interpretability and Analysis of Models for NLP	EMNLP	2020	10.18653/v1/2020.emnlp-main.259	{L}arge {T}ransformer-based models were shown to be reducible to a smaller number of self-attention heads and layers. We consider this phenomenon from the perspective of the lottery ticket hypothesis, using both structured and magnitude pruning. For fine-tuned {BERT}, we show that (a) it is possible to find subnetworks achieving performance that is comparable with that of the full model, and (b) similarly-sized subnetworks sampled from the rest of the model perform worse. Strikingly, with structured pruning even the worst possible subnetworks remain highly trainable, indicating that most pre-trained {BERT} weights are potentially useful. We also study the ``good" subnetworks to see if their success can be attributed to superior linguistic knowledge, but find them unstable, and not explained by meaningful self-attention patterns.	91ac65431b2dc46919e1673fde67671c29446812	Interpretability and Analysis	167	lottery ticket hypothesis, pruning, subnetworks, analysis	lottery ticket hypothesis, pruning, subnetworks, analysis
662	main.616	Attention is Not Only a Weight: Analyzing Transformers with Vector Norms	Interpretability and Analysis of Models for NLP	EMNLP	2020	10.18653/v1/2020.emnlp-main.574	Attention is a key component of Transformers, which have recently achieved considerable success in natural language processing. Hence, attention is being extensively studied to investigate various linguistic capabilities of Transformers, focusing on analyzing the parallels between attention weights and speciﬁc linguistic phenomena. This paper shows that attention weights alone are only one of the two factors that determine the output of attention and proposes a norm-based analysis that incorporates the second factor, the norm of the transformed input vectors. The ﬁndings of our norm-based analyses of BERT and a Transformer-based neural machine translation system include the following: (i) contrary to previous studies, BERT pays poor attention to special tokens, and (ii) reasonable word alignment can be extracted from attention mechanisms of Transformer. These ﬁndings provide insights into the inner workings of Transformers.	9a21740d87976bf76f4a9668a9da631035302fb2	Interpretability and Analysis	162	attention analysis, norm-based analysis, analysis, understanding, novel method	attention analysis, norm-based analysis, analysis, understanding, novel method
