	citation_count	semantic_scholar_id	url	title	venue	year	track	interp_citation_prop	abstract	marius_topic	vagrant_topic	marius_chat	classifier_wrong	predicted_track_new_classifier
23	1242	63748e59f4e106cbda6b65939b77589f40e48fcb	doi.org/10.18653/v1/D19-1387	Text Summarization with Pretrained Encoders	EMNLP	2019	Summarization	5.555555555555555	Bidirectional Encoder Representations from Transformers (BERT) represents the latest incarnation of pretrained language models which have recently advanced a wide range of natural language processing tasks. In this paper, we showcase how BERT can be usefully applied in text summarization and propose a general framework for both extractive and abstractive models. We introduce a novel document-level encoder based on BERT which is able to express the semantics of a document and obtain representations for its sentences. Our extractive model is built on top of this encoder by stacking several inter-sentence Transformer layers. For abstractive summarization, we propose a new fine-tuning schedule which adopts different optimizers for the encoder and the decoder as a means of alleviating the mismatch between the two (the former is pretrained while the latter is not). We also demonstrate that a two-staged fine-tuning approach can further boost the quality of the generated summaries. Experiments on three datasets show that our model achieves state-of-the-art results across the board in both extractive and abstractive settings.	application, summarization, novel method, fine-tuning, representation learning, long context	application, summarization, novel method, fine-tuning, representation learning, long context			Summarization
24	1232	97906df07855b029b7aae7c2a1c6c5e8df1d531c	doi.org/10.18653/v1/P19-1452	BERT Rediscovers the Classical NLP Pipeline	ACL	2019	Sentence-level semantics	30.0	Pre-trained text encoders have rapidly advanced the state of the art on many NLP tasks. We focus on one such model, BERT, and aim to quantify where linguistic information is captured within the network. We find that the model represents the steps of the traditional NLP pipeline in an interpretable and localizable way, and that the regions responsible for each step appear in the expected sequence: POS tagging, parsing, NER, semantic roles, then coreference. Qualitative analysis reveals that the model can and often does adjust this pipeline dynamically, revising lower-level decisions on the basis of disambiguating information from higher-level representations.	analysis, linguistics, tagging, parsing, NER, coreference	analysis, linguistics, tagging, parsing, NER, coreference		1	Interpretability and Analysis
25	1228	6c7046195f64cccac1ed3275d88d77655534b5a4	doi.org/10.18653/v1/P18-1205	Personalizing Dialogue Agents: I have a dog, do you have pets too?	ACL	2018	Dialog System	3.4482758620689653	Chit-chat models are known to have several problems: they lack specificity, do not display a consistent personality and are often not very captivating. In this work we present the task of making chit-chat more engaging by conditioning on profile information. We collect data and train models to (i)condition on their given profile information; and (ii) information about the person they are talking to, resulting in improved dialogues, as measured by next utterance prediction. Since (ii) is initially unknown our model is trained to engage its partner with personal topics, and we show the resulting dialogue can be used to predict profile information about the interlocutors.	novel dataset, dialogue agents, personalization	novel dataset, dialogue agents, personalization			Dialogue
26	1218	305b2cf37e5dece81e95c92883d5a6e28ac93b22		Don't Give Me the Details, Just the Summary! Topic-Aware Convolutional Neural Networks for Extreme Summarization	EMNLP	2018	Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]	12.5	We introduce “extreme summarization”, a new single-document summarization task which does not favor extractive strategies and calls for an abstractive modeling approach. The idea is to create a short, one-sentence news summary answering the question “What is the article about?”. We collect a real-world, large-scale dataset for this task by harvesting online articles from the British Broadcasting Corporation (BBC). We propose a novel abstractive model which is conditioned on the article’s topics and based entirely on convolutional neural networks. We demonstrate experimentally that this architecture captures long-range dependencies in a document and recognizes pertinent content, outperforming an oracle extractive system and state-of-the-art abstractive approaches when evaluated automatically and by humans.	novel dataset, novel model, summarization, novel task, novel model	novel dataset, novel model, summarization, novel task, novel model			Summarization
27	1186	809cc93921e4698bde891475254ad6dfba33d03b	doi.org/10.18653/v1/P19-1493	How Multilingual is Multilingual BERT?	ACL	2019	Multilinguality	6.25	In this paper, we show that Multilingual BERT (M-BERT), released by Devlin et al. (2018) as a single language model pre-trained from monolingual corpora in 104 languages, is surprisingly good at zero-shot cross-lingual model transfer, in which task-specific annotations in one language are used to fine-tune the model for evaluation in another language. To understand why, we present a large number of probing experiments, showing that transfer is possible even to languages in different scripts, that transfer works best between typologically similar languages, that monolingual corpora can train models for code-switching, and that the model can find translation pairs. From these results, we can conclude that M-BERT does create multilingual representations, but that these representations exhibit systematic deficiencies affecting certain language pairs.	analysis, multilingual, cross-lingual transfer, zero-shot, probing	analysis, multilingual, cross-lingual transfer, zero-shot, probing		1	Machine Translation and Multilinguality
28	1174	5f994dc8cae24ca9d1ed629e517fcc652660ddde	doi.org/10.18653/v1/P19-1139	ERNIE: Enhanced Language Representation with Informative Entities	ACL	2019	Information Extraction and Text Mining	5.172413793103448	Neural language representation models such as BERT pre-trained on large-scale corpora can well capture rich semantic patterns from plain text, and be fine-tuned to consistently improve the performance of various NLP tasks. However, the existing pre-trained language models rarely consider incorporating knowledge graphs (KGs), which can provide rich structured knowledge facts for better language understanding. We argue that informative entities in KGs can enhance language representation with external knowledge. In this paper, we utilize both large-scale textual corpora and KGs to train an enhanced language representation model (ERNIE), which can take full advantage of lexical, syntactic, and knowledge information simultaneously. The experimental results have demonstrated that ERNIE achieves significant improvements on various knowledge-driven tasks, and meanwhile is comparable with the state-of-the-art model BERT on other common NLP tasks. The code and datasets will be available in the future.	novel model, knowledge graphs, representation learning, pre-training, fusion	novel model, knowledge graphs, representation learning, pre-training	fusion?		Inconclusive
29	1129	f4a5503783487eba5c5e34b1d02c09016b244b1d	doi.org/10.18653/v1/D18-1547	MultiWOZ - A Large-Scale Multi-Domain Wizard-of-Oz Dataset for Task-Oriented Dialogue Modelling	EMNLP	2018	Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]	0.0	Even though machine learning has become the major scene in dialogue research community, the real breakthrough has been blocked by the scale of data available.To address this fundamental obstacle, we introduce the Multi-Domain Wizard-of-Oz dataset (MultiWOZ), a fully-labeled collection of human-human written conversations spanning over multiple domains and topics.At a size of 10k dialogues, it is at least one order of magnitude larger than all previous annotated task-oriented corpora.The contribution of this work apart from the open-sourced dataset is two-fold:firstly, a detailed description of the data collection procedure along with a summary of data structure and analysis is provided. The proposed data-collection pipeline is entirely based on crowd-sourcing without the need of hiring professional annotators;secondly, a set of benchmark results of belief tracking, dialogue act and response generation is reported, which shows the usability of the data and sets a baseline for future studies.	novel dataset, dialogue	novel dataset, dialogue			Dialogue
30	1128	658721bc13b0fa97366d38c05a96bf0a9f4bb0ac	doi.org/10.18653/v1/P19-1441	Multi-Task Deep Neural Networks for Natural Language Understanding	ACL	2019	Sentence-level semantics	5.714285714285714	In this paper, we present a Multi-Task Deep Neural Network (MT-DNN) for learning representations across multiple natural language understanding (NLU) tasks. MT-DNN not only leverages large amounts of cross-task data, but also benefits from a regularization effect that leads to more general representations to help adapt to new tasks and domains. MT-DNN extends the model proposed in Liu et al. (2015) by incorporating a pre-trained bidirectional transformer language model, known as BERT (Devlin et al., 2018). MT-DNN obtains new state-of-the-art results on ten NLU tasks, including SNLI, SciTail, and eight out of nine GLUE tasks, pushing the GLUE benchmark to 82.7% (2.2% absolute improvement) as of February 25, 2019 on the latest GLUE test set. We also demonstrate using the SNLI and SciTail datasets that the representations learned by MT-DNN allow domain adaptation with substantially fewer in-domain labels than the pre-trained BERT representations. Our code and pre-trained models will be made publicly available.	novel model, NLU, pre-training, multi-task learning, representation learning	novel model, NLU, pre-training, multi-task learning, representation learning			Machine Learning
31	1114	cb0f3ee1e98faf92429d601cdcd76c69c1e484eb	doi.org/10.1162/tacl_a_00290	Neural Network Acceptability Judgments	EMNLP	2019	Linguistic Theories, Cognitive Modeling and Psycholinguistics	15.384615384615385	Abstract This paper investigates the ability of artificial neural networks to judge the grammatical acceptability of a sentence, with the goal of testing their linguistic competence. We introduce the Corpus of Linguistic Acceptability (CoLA), a set of 10,657 English sentences labeled as grammatical or ungrammatical from published linguistics literature. As baselines, we train several recurrent neural network models on acceptability classification, and find that our models outperform unsupervised models by Lau et al. (2016) on CoLA. Error-analysis on specific grammatical phenomena reveals that both Lau et al.’s models and ours learn systematic generalizations like subject-verb-object order. However, all models we test perform far below human level on a wide range of grammatical constructions.	novel dataset, acceptability, linguistics 	novel dataset, acceptability, linguistics 			Inconclusive
32	1081	335613303ebc5eac98de757ed02a56377d99e03a	doi.org/10.18653/v1/P19-1356	What Does BERT Learn about the Structure of Language?	ACL	2019	Multidisciplinary	56.52173913043478	BERT is a recent language representation model that has surprisingly performed well in diverse language understanding benchmarks. This result indicates the possibility that BERT networks capture structural information about language. In this work, we provide novel support for this claim by performing a series of experiments to unpack the elements of English language structure learned by BERT. Our findings are fourfold. BERT’s phrasal representation captures the phrase-level information in the lower layers. The intermediate layers of BERT compose a rich hierarchy of linguistic information, starting with surface features at the bottom, syntactic features in the middle followed by semantic features at the top. BERT requires deeper layers while tracking subject-verb agreement to handle long-term dependency problem. Finally, the compositional scheme underlying BERT mimics classical, tree-like structures.	analysis, linguistics, meaning, syntax	analysis, linguistics, meaning, syntax		1	Interpretability and Analysis
33	1067	42ed4a9994e6121a9f325f5b901c5b3d7ce104f5	doi.org/10.18653/v1/P19-1334	Right for the Wrong Reasons: Diagnosing Syntactic Heuristics in Natural Language Inference	ACL	2019	Semantics	40.816326530612244	A machine learning system can score well on a given test set by relying on heuristics that are effective for frequent example types but break down in more challenging cases. We study this issue within natural language inference (NLI), the task of determining whether one sentence entails another. We hypothesize that statistical NLI models may adopt three fallible syntactic heuristics: the lexical overlap heuristic, the subsequence heuristic, and the constituent heuristic. To determine whether models have adopted these heuristics, we introduce a controlled evaluation set called HANS (Heuristic Analysis for NLI Systems), which contains many examples where the heuristics fail. We find that models trained on MNLI, including BERT, a state-of-the-art model, perform very poorly on HANS, suggesting that they have indeed adopted these heuristics. We conclude that there is substantial room for improvement in NLI systems, and that the HANS dataset can motivate and measure progress in this area.	analysis, novel dataset, evaluation, linguistics, syntax, NLI, heuristics, reasoning, generalization	analysis, novel dataset, evaluation, linguistics, syntax, NLI, heuristics, reasoning, generalization		1	Inconclusive
34	1056	e65b346d442e9962a4276dc1c1af2956d9d5f1eb	doi.org/10.18653/v1/2023.acl-long.754	Self-Instruct: Aligning Language Models with Self-Generated Instructions	ACL	2023	Large Language Models	23.076923076923077	Large "instruction-tuned" language models (i.e., finetuned to respond to instructions) have demonstrated a remarkable ability to generalize zero-shot to new tasks. Nevertheless, they depend heavily on human-written instruction data that is often limited in quantity, diversity, and creativity, therefore hindering the generality of the tuned model. We introduce Self-Instruct, a framework for improving the instruction-following capabilities of pretrained language models by bootstrapping off their own generations. Our pipeline generates instructions, input, and output samples from a language model, then filters invalid or similar ones before using them to finetune the original model. Applying our method to the vanilla GPT3, we demonstrate a 33\% absolute improvement over the original model on Super-NaturalInstructions, on par with the performance of InstructGPT-001, which was trained with private user data and human annotations. For further evaluation, we curate a set of expert-written instructions for novel tasks, and show through human evaluation that tuning GPT3 with Self-Instruct outperforms using existing public instruction datasets by a large margin, leaving only a 5\% absolute gap behind InstructGPT-001. Self-Instruct provides an almost annotation-free method for aligning pre-trained language models with instructions, and we release our large synthetic dataset to facilitate future studies on instruction tuning.	novel method, alignment, instruction-following, generation, instruction-tuning	novel method, alignment, instruction-following, generation, instruction-tuning			Generation
35	1047	a75649771901a4881b44c0ceafa469fcc6e6f968		How Can We Know What Language Models Know	EMNLP	2020	Language Generation	24.561403508771928	Recent work has presented intriguing results examining the knowledge contained in language models (LM) by having the LM fill in the blanks of prompts such as "Obama is a _ by profession". These prompts are usually manually created, and quite possibly sub-optimal; another prompt such as "Obama worked as a _" may result in more accurately predicting the correct profession. Because of this, given an inappropriate prompt, we might fail to retrieve facts that the LM does know, and thus any given prompt only provides a lower bound estimate of the knowledge contained in an LM. In this paper, we attempt to more accurately estimate the knowledge contained in LMs by automatically discovering better prompts to use in this querying process. Specifically, we propose mining-based and paraphrasing-based methods to automatically generate high-quality and diverse prompts, as well as ensemble methods to combine answers from different prompts. Extensive experiments on the LAMA benchmark for extracting relational knowledge from LMs demonstrate that our methods can improve accuracy from 31.1% to 39.6%, providing a tighter lower bound on what LMs know. We have released the code and the resulting LM Prompt And Query Archive (LPAQA) at https://github.com/jzbjyb/LPAQA.	analysis, evaluation, factual knowledge, prompting, novel method	analysis, evaluation, factual knowledge, prompting, novel method		1	Inconclusive
36	1046	4ae52766028e69186052ea8f33a137fbbbdb986a	doi.org/10.18653/v1/2020.acl-main.704	BLEURT: Learning Robust Metrics for Text Generation	ACL	2020	Generation	6.122448979591836	Text generation has made significant advances in the last few years. Yet, evaluation metrics have lagged behind, as the most popular choices (e.g., BLEU and ROUGE) may correlate poorly with human judgment. We propose BLEURT, a learned evaluation metric for English based on BERT. BLEURT can model human judgment with a few thousand possibly biased training examples. A key aspect of our approach is a novel pre-training scheme that uses millions of synthetic examples to help the model generalize. BLEURT provides state-of-the-art results on the last three years of the WMT Metrics shared task and the WebNLG data set. In contrast to a vanilla BERT-based approach, it yields superior results even when the training data is scarce and out-of-distribution.	novel metric, generation, generalization, pre-training	novel metric, generation, generalization, pre-training			Generation
37	983	e73bd7f9bdc262b9b7fb60ca0d5230d3ab0fad5e	doi.org/10.18653/v1/P18-1007	Subword Regularization: Improving Neural Network Translation Models with Multiple Subword Candidates	ACL	2018	Machine Translation	22.857142857142858	Subword units are an effective way to alleviate the open vocabulary problems in neural machine translation (NMT). While sentences are usually converted into unique subword sequences, subword segmentation is potentially ambiguous and multiple segmentations are possible even with the same vocabulary. The question addressed in this paper is whether it is possible to harness the segmentation ambiguity as a noise to improve the robustness of NMT. We present a simple regularization method, subword regularization, which trains the model with multiple subword segmentations probabilistically sampled during training. In addition, for better subword sampling, we propose a new subword segmentation algorithm based on a unigram language model. We experiment with multiple corpora and report consistent improvements especially on low resource and out-of-domain settings.	novel method, regularization, tokenization, MT	novel method, regularization, tokenization, MT			Machine Translation and Multilinguality
38	975	8b0f27bb594b1eaaf493eaf1e2ee723a2b0a19ad	doi.org/10.18653/v1/P19-1472	HellaSwag: Can a Machine Really Finish Your Sentence?	ACL	2019	Textual Inference and Other Areas of Semantics	21.052631578947366	Recent work by Zellers et al. (2018) introduced a new task of commonsense natural language inference: given an event description such as “A woman sits at a piano,” a machine must select the most likely followup: “She sets her fingers on the keys.” With the introduction of BERT, near human-level performance was reached. Does this mean that machines can perform human level commonsense inference? In this paper, we show that commonsense inference still proves difficult for even state-of-the-art models, by presenting HellaSwag, a new challenge dataset. Though its questions are trivial for humans (>95% accuracy), state-of-the-art models struggle (<48%). We achieve this via Adversarial Filtering (AF), a data collection paradigm wherein a series of discriminators iteratively select an adversarial set of machine-generated wrong answers. AF proves to be surprisingly robust. The key insight is to scale up the length and complexity of the dataset examples towards a critical ‘Goldilocks’ zone wherein generated text is ridiculous to humans, yet often misclassified by state-of-the-art models. Our construction of HellaSwag, and its resulting difficulty, sheds light on the inner workings of deep pretrained models. More broadly, it suggests a new path forward for NLP research, in which benchmarks co-evolve with the evolving state-of-the-art in an adversarial way, so as to present ever-harder challenges.	novel dataset, commonsense, NLI, reasoning, adversarial evaluation 	novel dataset, commonsense, NLI, reasoning, adversarial evaluation 			Inconclusive
39	912	a30f912f8c5e2a2bfb06351d4578e1ba3fa37896	doi.org/10.18653/v1/2021.emnlp-main.685	CodeT5: Identifier-aware Unified Pre-trained Encoder-Decoder Models for Code Understanding and Generation	EMNLP	2021	NLP Applications	5.714285714285714	Pre-trained models for Natural Languages (NL) like BERT and GPT have been recently shown to transfer well to Programming Languages (PL) and largely benefit a broad set of code-related tasks. Despite their success, most current methods either rely on an encoder-only (or decoder-only) pre-training that is suboptimal for generation (resp. understanding) tasks or process the code snippet in the same way as NL, neglecting the special characteristics of PL such as token types. We present CodeT5, a unified pre-trained encoder-decoder Transformer model that better leverages the code semantics conveyed from the developer-assigned identifiers. Our model employs a unified framework to seamlessly support both code understanding and generation tasks and allows for multi-task learning. Besides, we propose a novel identifier-aware pre-training task that enables the model to distinguish which code tokens are identifiers and to recover them when they are masked. Furthermore, we propose to exploit the user-written code comments with a bimodal dual generation task for better NL-PL alignment. Comprehensive experiments show that CodeT5 significantly outperforms prior methods on understanding tasks such as code defect detection and clone detection, and generation tasks across various directions including PL-NL, NL-PL, and PL-PL. Further analysis reveals that our model can better capture semantic information from code. Our code and pre-trained models are released at https://github.com/salesforce/CodeT5.	novel model, code, pre-training, generation, seq-2-seq	novel model, code, pre-training, generation	added seq-2-seq		Inconclusive
40	902	41d49ec6f73ab5621ab8e8cb5ddb677a886ccc76	doi.org/10.18653/v1/D19-1018	Justifying Recommendations using Distantly-Labeled Reviews and Fine-Grained Aspects	EMNLP	2019	Sentiment Analysis and Argument Mining	11.76470588235294	Several recent works have considered the problem of generating reviews (or ‘tips’) as a form of explanation as to why a recommendation might match a customer’s interests. While promising, we demonstrate that existing approaches struggle (in terms of both quality and content) to generate justifications that are relevant to users’ decision-making process. We seek to introduce new datasets and methods to address the recommendation justification task. In terms of data, we first propose an ‘extractive’ approach to identify review segments which justify users’ intentions; this approach is then used to distantly label massive review corpora and construct large-scale personalized recommendation justification datasets. In terms of generation, we are able to design two personalized generation models with this data: (1) a reference-based Seq2Seq model with aspect-planning which can generate justifications covering different aspects, and (2) an aspect-conditional masked language model which can generate diverse justifications based on templates extracted from justification histories. We conduct experiments on two real-world datasets which show that our model is capable of generating convincing and diverse justifications.	novel model, recommender systems, explanations, explainability, evaluation 	novel model, recommender systems, explanations, explainability, evaluation 			Inconclusive
41	898	33ec7eb2168e37e3007d1059aa96b9a63254b4da	doi.org/10.18653/v1/2020.acl-main.442	Beyond Accuracy: Behavioral Testing of NLP Models with CheckList	ACL	2020	Resources and Evaluation	34.48275862068966	Although measuring held-out accuracy has been the primary approach to evaluate generalization, it often overestimates the performance of NLP models, while alternative approaches for evaluating models either focus on individual tasks or on specific behaviors. Inspired by principles of behavioral testing in software engineering, we introduce CheckList, a task-agnostic methodology for testing NLP models. CheckList includes a matrix of general linguistic capabilities and test types that facilitate comprehensive test ideation, as well as a software tool to generate a large and diverse number of test cases quickly. We illustrate the utility of CheckList with tests for three tasks, identifying critical failures in both commercial and state-of-art models. In a user study, a team responsible for a commercial sentiment analysis model found new and actionable bugs in an extensively tested model. In another user study, NLP practitioners with CheckList created twice as many tests, and found almost three times as many bugs as users without it.	evaluation, novel framework, behavioural testing, generalization 	evaluation, novel framework, behavioural testing, generalization 			Inconclusive
42	888	d47a682723f710395454687319bb55635e653105	doi.org/10.18653/v1/2020.acl-main.485	Language (Technology) is Power: A Critical Survey of "Bias" in NLP	ACL	2020	Ethics and NLP	13.513513513513514	We survey 146 papers analyzing "bias" in NLP systems, finding that their motivations are often vague, inconsistent, and lacking in normative reasoning, despite the fact that analyzing "bias" is an inherently normative process. We further find that these papers' proposed quantitative techniques for measuring or mitigating "bias" are poorly matched to their motivations and do not engage with the relevant literature outside of NLP. Based on these findings, we describe the beginnings of a path forward by proposing three recommendations that should guide work analyzing "bias" in NLP systems. These recommendations rest on a greater recognition of the relationships between language and social hierarchies, encouraging researchers and practitioners to articulate their conceptualizations of "bias"---i.e., what kinds of system behaviors are harmful, in what ways, to whom, and why, as well as the normative reasoning underlying these statements---and to center work around the lived experiences of members of communities affected by NLP systems, while interrogating and reimagining the power relations between technologists and such communities.	survey, social bias, critique, bias detection, bias mitigation, harms	survey, social bias, critique, bias detection, bias mitigation, harms			Ethics
43	883	949fef650da4c41afe6049a183b504b3cc91f4bd	doi.org/10.18653/v1/P19-1656	Multimodal Transformer for Unaligned Multimodal Language Sequences	ACL	2019	Vision, Robotics, Multimodal, Grounding and Speech	5.128205128205128	Human language is often multimodal, which comprehends a mixture of natural language, facial gestures, and acoustic behaviors. However, two major challenges in modeling such multimodal human language time-series data exist: 1) inherent data non-alignment due to variable sampling rates for the sequences from each modality; and 2) long-range dependencies between elements across modalities. In this paper, we introduce the Multimodal Transformer (MulT) to generically address the above issues in an end-to-end manner without explicitly aligning the data. At the heart of our model is the directional pairwise crossmodal attention, which attends to interactions between multimodal sequences across distinct time steps and latently adapt streams from one modality to another. Comprehensive experiments on both aligned and non-aligned multimodal time-series show that our model outperforms state-of-the-art methods by a large margin. In addition, empirical analysis suggests that correlated crossmodal signals are able to be captured by the proposed crossmodal attention mechanism in MulT.	novel model, multimodal, time series, architecture, attention	novel model, multimodal, time series, attention	architecture		Multimodality, Speech and Grounding
44	858	514e7fb769950dbe96eb519c88ca17e04dc829f6	doi.org/10.18653/v1/P18-2006	HotFlip: White-Box Adversarial Examples for Text Classification	ACL	2018	Machine Learning	48.0	We propose an efficient method to generate white-box adversarial examples to trick a character-level neural classifier. We find that only a few manipulations are needed to greatly decrease the accuracy. Our method relies on an atomic flip operation, which swaps one token for another, based on the gradients of the one-hot input vectors. Due to efficiency of our method, we can perform adversarial training which makes the model more robust to attacks at test time. With the use of a few semantics-preserving constraints, we demonstrate that HotFlip can be adapted to attack a word-level classifier as well.	novel method, adversarial robustness, classification	novel method, adversarial robustness, classification			Machine Learning
45	855	07a64686ce8e43ac475a8d820a8a9f1d87989583	doi.org/10.18653/v1/P19-1580	Analyzing Multi-Head Self-Attention: Specialized Heads Do the Heavy Lifting, the Rest Can Be Pruned	ACL	2019	Machine Translation	37.142857142857146	Multi-head self-attention is a key component of the Transformer, a state-of-the-art architecture for neural machine translation. In this work we evaluate the contribution made by individual attention heads to the overall performance of the model and analyze the roles played by them in the encoder. We find that the most important and confident heads play consistent and often linguistically-interpretable roles. When pruning heads using a method based on stochastic gates and a differentiable relaxation of the L0 penalty, we observe that specialized heads are last to be pruned. Our novel pruning method removes the vast majority of heads without seriously affecting performance. For example, on the English-Russian WMT dataset, pruning 38 out of 48 encoder heads results in a drop of only 0.15 BLEU.	analysis, novel method, attention analysis, pruning, interpretability, MT	analysis, novel method, attention analysis, pruning, interpretability, MT		1	Machine Translation and Multilinguality
46	846	160563abbd75265b19afc8b4169bab9e1eb33d97	doi.org/10.1162/tacl_a_00288	Massively Multilingual Sentence Embeddings for Zero-Shot Cross-Lingual Transfer and Beyond	EMNLP	2019	Sentence-level Semantics	0.0	Abstract We introduce an architecture to learn joint multilingual sentence representations for 93 languages, belonging to more than 30 different families and written in 28 different scripts. Our system uses a single BiLSTM encoder with a shared byte-pair encoding vocabulary for all languages, which is coupled with an auxiliary decoder and trained on publicly available parallel corpora. This enables us to learn a classifier on top of the resulting embeddings using English annotated data only, and transfer it to any of the 93 languages without any modification. Our experiments in cross-lingual natural language inference (XNLI data set), cross-lingual document classification (MLDoc data set), and parallel corpus mining (BUCC data set) show the effectiveness of our approach. We also introduce a new test set of aligned sentences in 112 languages, and show that our sentence embeddings obtain strong results in multilingual similarity search even for low- resource languages. Our implementation, the pre-trained encoder, and the multilingual test set are available at https://github.com/facebookresearch/LASER.	novel model, novel dataset, embeddings, zero-shot, cross-lingual transfer, multilingual, representation learning	novel model, novel dataset, embeddings, zero-shot, cross-lingual transfer, multilingual, representation learning			Machine Translation and Multilinguality
47	820	a81874b4a651a740fffbfc47ef96515e8c7f782f	doi.org/10.18653/v1/P19-1612	Latent Retrieval for Weakly Supervised Open Domain Question Answering	ACL	2019	Question Answering	9.375	Recent work on open domain question answering (QA) assumes strong supervision of the supporting evidence and/or assumes a blackbox information retrieval (IR) system to retrieve evidence candidates. We argue that both are suboptimal, since gold evidence is not always available, and QA is fundamentally different from IR. We show for the first time that it is possible to jointly learn the retriever and reader from question-answer string pairs and without any IR system. In this setting, evidence retrieval from all of Wikipedia is treated as a latent variable. Since this is impractical to learn from scratch, we pre-train the retriever with an Inverse Cloze Task. We evaluate on open versions of five QA datasets. On datasets where the questioner already knows the answer, a traditional IR system such as BM25 is sufficient. On datasets where a user is genuinely seeking an answer, we show that learned retrieval is crucial, outperforming BM25 by up to 19 points in exact match.	novel method, retrieval, QA, weak supervision, multi-task learning	novel method, retrieval, QA, weak supervision, multi-task learning			Question Answering
48	815	87e02a265606f31e65986f3c1c448a3e3a3a066e	doi.org/10.18653/v1/2022.emnlp-main.759	Rethinking the Role of Demonstrations: What Makes In-Context Learning Work?	EMNLP	2022	Language Modeling and Analysis of Language Models	24.59016393442623	Large language models (LMs) are able to in-context learn—perform a new task via inference alone by conditioning on a few input-label pairs (demonstrations) and making predictions for new inputs. However, there has been little understanding of how the model learns and which aspects of the demonstrations contribute to end task performance. In this paper, we show that ground truth demonstrations are in fact not required—randomly replacing labels in the demonstrations barely hurts performance on a range of classification and multi-choce tasks, consistently over 12 different models including GPT-3. Instead, we find that other aspects of the demonstrations are the key drivers of endtask performance, including the fact that they provide a few examples of (1) the label space, (2) the distribution of the input text, and (3) the overall format of the sequence. Together, our analysis provides a new way of understanding how and why in-context learning works, while opening up new questions about how much can be learned from large language models through inference alone.	demonstrations, in-context learning, analysis, understanding	demonstrations, in-context learning, analysis, understanding		1	Interpretability and Analysis
49	814	b61c6405f4de381758e8b52a20313554d68a9d85	doi.org/10.18653/v1/2020.acl-main.645	CamemBERT: a Tasty French Language Model	ACL	2020	Machine Learning for NLP	7.894736842105263	Pretrained language models are now ubiquitous in Natural Language Processing. Despite their success, most available models have either been trained on English data or on the concatenation of data in multiple languages. This makes practical use of such models --in all languages except English-- very limited. In this paper, we investigate the feasibility of training monolingual Transformer-based language models for other languages, taking French as an example and evaluating our language models on part-of-speech tagging, dependency parsing, named entity recognition and natural language inference tasks. We show that the use of web crawled data is preferable to the use of Wikipedia data. More surprisingly, we show that a relatively small web crawled dataset (4GB) leads to results that are as good as those obtained using larger datasets (130+GB). Our best performing model CamemBERT reaches or improves the state of the art in all four downstream tasks.	novel model, pre-training	novel model, pre-training			Machine Translation and Multilinguality
