,id,title,area,interpretability,doi,source
49,197,Subjective Crowd Disagreements for Subjective Data: Uncovering Meaningful CrowdOpinion with Population-level Learning,Posters,,10.18653/v1/2023.acl-long.54,ACL2023
50,202,Enhancing Unsupervised Semantic Parsing with Distributed Contextual Representations,Virtual Poster,,10.18653/v1/2023.findings-acl.726,ACL2023
51,203,Modeling Appropriate Language in Argumentation,Posters,,10.18653/v1/2023.acl-long.238,ACL2023
52,206,Annotation-Inspired Implicit Discourse Relation Classification with Auxiliary Discourse Connective Generation,Posters,,10.18653/v1/2023.acl-long.874,ACL2023
53,211,Downstream Datasets Make Surprisingly Good Pretraining Corpora,Posters,,10.18653/v1/2023.acl-long.682,ACL2023
54,220,SCCS: Semantics-Consistent Cross-domain Summarization via Optimal Transport Alignment,,,10.18653/v1/2023.findings-acl.101,ACL2023
55,221,Controlling Styles in Neural Machine Translation with Activation Prompt,,,10.18653/v1/2023.findings-acl.163,ACL2023
56,228,MvP: Multi-view Prompting Improves Aspect Sentiment Tuple Prediction,Virtual Poster,,10.18653/v1/2023.acl-long.240,ACL2023
57,230,Towards Robust Low-Resource Fine-Tuning with Multi-View Compressed Representations,Posters,,10.18653/v1/2023.acl-long.264,ACL2023
58,232,GRACE: Gradient-guided Controllable Retrieval for Augmenting Attribute-based Text Generation,,,10.18653/v1/2023.findings-acl.530,ACL2023
59,233,UniLG: A Unified Structure-aware Framework for Lyrics Generation,Virtual Poster,,10.18653/v1/2023.acl-long.56,ACL2023
60,236,MultiCapCLIP: Auto-Encoding Prompts for Zero-Shot Multilingual Visual Captioning,Virtual Poster,,10.18653/v1/2023.acl-long.664,ACL2023
61,240,Unsupervised Keyphrase Extraction by Learning Neural Keyphrase Set Function,,,10.18653/v1/2023.findings-acl.156,ACL2023
62,245,Hybrid Knowledge Transfer for Improved Cross-Lingual Event Detection via Hierarchical Sample Selection,Virtual Poster,,10.18653/v1/2023.acl-long.296,ACL2023
63,249,Character-Aware Models Improve Visual Text Rendering,Posters,,10.18653/v1/2023.acl-long.900,ACL2023
64,250,COGEN: Abductive Commonsense Language Generation,Information Extraction / Generation,False,10.18653/v1/2023.acl-short.26,ACL2023
65,253,NoisywikiHow: A Benchmark for Learning with Real-world Noisy Labels in Natural Language Processing,,,10.18653/v1/2023.findings-acl.299,ACL2023
66,254,Joint End-to-end Semantic Proto-role Labeling,Posters,,10.18653/v1/2023.acl-short.63,ACL2023
67,255,Are Message Passing Neural Networks Really Helpful for Knowledge Graph Completion?,Posters,,10.18653/v1/2023.acl-long.597,ACL2023
68,258,To Copy Rather Than Memorize: A Vertical Learning Paradigm for Knowledge Graph Completion,Virtual Poster,,10.18653/v1/2023.acl-long.349,ACL2023
69,267,Infusing Hierarchical Guidance into Prompt Tuning: A Parameter-Efficient Framework for Multi-level Implicit Discourse Relation Recognition,Posters,,10.18653/v1/2023.acl-long.357,ACL2023
70,269,XtremeCLIP: Extremely Parameter-efficient Tuning for Low-resource Vision Language Understanding,,,10.18653/v1/2023.findings-acl.397,ACL2023
71,273,Rethinking Semi-supervised Learning with Language Models,Virtual Poster,,10.18653/v1/2023.findings-acl.347,ACL2023
72,274,"Reinforced Active Learning for Low-Resource, Domain-Specific, Multi-Label Text Classification",Virtual Poster,,10.18653/v1/2023.findings-acl.697,ACL2023
73,276,Pretrained Bidirectional Distillation for Machine Translation,Virtual Poster,,10.18653/v1/2023.acl-long.63,ACL2023
74,279,Robustness of Multi-Source MT to Transcription Errors,Virtual Poster,,10.18653/v1/2023.findings-acl.228,ACL2023
75,282,Linear Classifier: An Often-Forgotten Baseline for Text Classification,Posters,,10.18653/v1/2023.acl-short.160,ACL2023
76,283,Crosslingual Generalization through Multitask Finetuning,Posters,,10.18653/v1/2023.acl-long.891,ACL2023
77,284,Soft Alignment Objectives for Robust Adaptation of Language Generation,Posters,,10.18653/v1/2023.acl-long.492,ACL2023
78,286,"Do Androids Laugh at Electric Sheep? Humor ""Understanding"" Benchmarks from The New Yorker Caption Contest",Posters,,,ACL2023
79,290,Teacher and Student Models of Offensive Language in Social Media,,,10.18653/v1/2023.findings-acl.241,ACL2023
80,292,Dissecting Transformer Length Extrapolation via the Lens of Receptive Field Analysis,Posters,,10.18653/v1/2023.acl-long.756,ACL2023
81,293,"Conflicts, Villains, Resolutions: Towards models of Narrative Media Framing",Computational Social Science and Cultural Analytics,False,10.18653/v1/2023.acl-long.486,ACL2023
82,294,Training-free Neural Architecture Search for RNNs and Transformers,Posters,,10.18653/v1/2023.acl-long.142,ACL2023
83,295,Small Pre-trained Language Models Can be Fine-tuned as Large Models via Over-Parameterization,Machine Learning for NLP,False,10.18653/v1/2023.acl-long.212,ACL2023
84,299,TECHS: Temporal Logical Graph Networks for Explainable Extrapolation Reasoning,Virtual Poster,,10.18653/v1/2023.acl-long.71,ACL2023
85,300,Exploiting Hierarchically Structured Categories in Fine-grained Chinese Named Entity Recognition,Virtual Poster,,10.18653/v1/2023.findings-acl.211,ACL2023
86,302,On the Blind Spots of Model-Based Evaluation Metrics for Text Generation,Information Extraction / Generation,False,10.18653/v1/2023.acl-long.674,ACL2023
87,304,In-context Examples Selection for Machine Translation,Virtual Poster,,10.18653/v1/2023.findings-acl.564,ACL2023
88,312,In-sample Curriculum Learning by Sequence Completion for Natural Language Generation,Posters,,10.18653/v1/2023.acl-long.666,ACL2023
89,317,Learning Joint Structural and Temporal Contextualized Knowledge Embeddings for Temporal Knowledge Graph Completion,,,10.18653/v1/2023.findings-acl.28,ACL2023
90,319,Bring More Attention to Syntactic Symmetry for Automatic Postediting of High-Quality Machine Translations,Posters,,10.18653/v1/2023.acl-short.122,ACL2023
91,322,IDRISI-RA: The First Arabic Location Mention Recognition Dataset of Disaster Tweets,Posters,,10.18653/v1/2023.acl-long.901,ACL2023
92,324,DialoGPS: Dialogue Path Sampling in Continuous Semantic Space for Data Augmentation in Multi-Turn Conversations,Virtual Poster,,10.18653/v1/2023.acl-long.70,ACL2023
93,326,Post-Abstention: Towards Reliably Re-Attempting the Abstained Instances in QA,Question Answering,False,10.18653/v1/2023.acl-long.55,ACL2023
94,327,Attention as a Guide for Simultaneous Speech Translation,Posters,,10.18653/v1/2023.acl-long.745,ACL2023
95,328,What are the Desired Characteristics of Calibration Sets? Identifying Correlates on Long Form Scientific Summarization,Summarization,False,10.18653/v1/2023.acl-long.587,ACL2023
96,331,LABO: Towards Learning Optimal Label Regularization via Bi-level Optimization,Virtual Poster,,10.18653/v1/2023.findings-acl.356,ACL2023
97,336,Pruning Pre-trained Language Models with Principled Importance and Self-regularization,,,10.18653/v1/2023.findings-acl.573,ACL2023
98,339,Faking Fake News for Real Fake News Detection: Propaganda-Loaded Training Data Generation,Posters,,10.18653/v1/2023.acl-long.815,ACL2023
99,341,CLAPSpeech: Learning Prosody from Text Context with Contrastive Language-Audio Pre-Training,Posters,,10.18653/v1/2023.acl-long.518,ACL2023
100,342,Improved Visual Story Generation with Adaptive Context Modeling,,,10.18653/v1/2023.findings-acl.305,ACL2023
101,343,FluentSpeech: Stutter-Oriented Automatic Speech Editing with Context-Aware Diffusion Models,,,10.18653/v1/2023.findings-acl.741,ACL2023
102,345,AltCLIP: Altering the Language Encoder in CLIP for Extended Language Capabilities,Virtual Poster,,10.18653/v1/2023.findings-acl.552,ACL2023
103,347,FiDO: Fusion-in-Decoder optimized for stronger performance and faster inference,,,10.18653/v1/2023.findings-acl.732,ACL2023
104,348,Structured Pruning for Efficient Generative Pre-trained Language Models,Virtual Poster,,10.18653/v1/2023.findings-acl.692,ACL2023
105,352,What the DAAM: Interpreting Stable Diffusion Using Cross Attention,Posters,,10.18653/v1/2023.acl-long.310,ACL2023
106,353,Opinion Tree Parsing for Aspect-based Sentiment Analysis,Virtual Poster,,10.18653/v1/2023.findings-acl.505,ACL2023
107,355,Query Enhanced Knowledge-Intensive Conversation via Unsupervised Joint Modeling,Virtual Poster,,10.18653/v1/2023.acl-long.97,ACL2023
108,360,Pseudo Outlier Exposure for Out-of-Distribution Detection using Pretrained Transformers,,,10.18653/v1/2023.findings-acl.95,ACL2023
109,361,WYWEB: A NLP Evaluation Benchmark For Classical Chinese,,,10.18653/v1/2023.findings-acl.204,ACL2023
110,366,A  Set Prediction Network For Extractive Summarization,,,,ACL2023
111,367,RetroMAE-2: Duplex Masked Auto-Encoder For Pre-Training Retrieval-Oriented Language Models,Large Language Models,False,10.18653/v1/2023.acl-long.148,ACL2023
112,377,MasakhaPOS: Part-of-Speech Tagging for Typologically Diverse African languages,Linguistic Diversity,False,10.18653/v1/2023.acl-long.609,ACL2023
113,378,Reference Matters: Benchmarking Factual Error Correction for Dialogue Summarization with Fine-grained Evaluation Framework,Virtual Poster,,10.18653/v1/2023.acl-long.779,ACL2023
114,379,An Open Dataset and Model for Language Identification,Posters,,10.18653/v1/2023.acl-short.75,ACL2023
115,382,Boosting Distress Support Dialogue Responses with Motivational Interviewing Strategy,Findings Spotlights I,,10.18653/v1/2023.findings-acl.334,ACL2023
116,384,Prompting Language Models for Linguistic Structure,Posters,,10.18653/v1/2023.acl-long.367,ACL2023
117,391,A fine-grained comparison of pragmatic language understanding in humans and language models,Posters,,10.18653/v1/2023.acl-long.230,ACL2023
118,392,Code4Struct: Code Generation for Few-Shot Event Structure Prediction,Posters,,10.18653/v1/2023.acl-long.202,ACL2023
119,394,Detecting Contradictory COVID-19 Drug Efficacy Claims from Biomedical Literature,Posters,,10.18653/v1/2023.acl-short.61,ACL2023
120,395,Moving Beyond Downstream Task Accuracy for Information Retrieval Benchmarking,Virtual Poster,,10.18653/v1/2023.findings-acl.738,ACL2023
121,399,Inducing Character-level Structure in Subword-based Language Models with Type-level Interchange Intervention Training,Findings Spotlights III,,10.18653/v1/2023.findings-acl.770,ACL2023
122,403,DopplerBAS: Binaural Audio Synthesis Addressing Doppler Effect,,,10.18653/v1/2023.findings-acl.753,ACL2023
123,404,DisorBERT: A Double Domain Adaptation Model for Detecting Signs of Mental Disorders in Social Media,Posters,,10.18653/v1/2023.acl-long.853,ACL2023
124,406,Recurrent Attention Networks for Long-text Modeling,Virtual Poster,,10.18653/v1/2023.findings-acl.188,ACL2023
125,410,Diffusion Theory as a Scalpel: Detecting and Purifying Poisonous Dimensions in Pre-trained Language Models Caused by Backdoor or Bias,,,10.18653/v1/2023.findings-acl.157,ACL2023
126,411,Uncertainty-Aware Bootstrap Learning for Joint Extraction on Distantly-Supervised Data,Virtual Poster,,10.18653/v1/2023.acl-short.116,ACL2023
127,415,Do Large Language Models Know What They Don't Know?,Virtual Poster,,,ACL2023
128,420,Exploring and Verbalizing Academic Ideas by Concept Co-occurrence,Virtual Poster,,10.18653/v1/2023.acl-long.727,ACL2023
129,424,Unsupervised Graph-Text Mutual Conversion with a Unified Pretrained Language Model,Virtual Poster,,10.18653/v1/2023.acl-long.281,ACL2023
130,425,E-NER: Evidential Deep Learning for Trustworthy Named Entity Recognition,,,10.18653/v1/2023.findings-acl.103,ACL2023
131,426,A Hierarchical Explanation Generation Method Based on Feature Interaction Detection,Virtual Poster,,10.18653/v1/2023.findings-acl.798,ACL2023
132,427,RHO: Reducing Hallucination in Open-domain Dialogues with Knowledge Grounding,Virtual Poster,,10.18653/v1/2023.findings-acl.275,ACL2023
133,430,Uncertainty Guided Label Denoising for Document-level Distant Relation Extraction,Information Extraction / Generation,False,10.18653/v1/2023.acl-long.889,ACL2023
134,432,Reducing Sensitivity on Speaker Names for Text Generation from Dialogues,Virtual Poster,,10.18653/v1/2023.findings-acl.129,ACL2023
135,433,NusaCrowd: Open Source Initiative for Indonesian NLP Resources,Virtual Poster,,10.18653/v1/2023.findings-acl.868,ACL2023
136,437,Multi-source Semantic Graph-based Multimodal Sarcasm Explanation Generation,Virtual Poster,,10.18653/v1/2023.acl-long.635,ACL2023
137,442,A Systematic Study of Knowledge Distillation for Natural Language Generation with Pseudo-Target Training,Posters,,10.18653/v1/2023.acl-long.818,ACL2023
138,451,RobuT: A Systematic Study of Table QA Robustness Against Human-Annotated Adversarial Perturbations,Posters,,10.18653/v1/2023.acl-long.334,ACL2023
139,452,"Expand, Rerank, and Retrieve: Query Reranking for Open-Domain Question Answering",Findings Spotlights I,,10.18653/v1/2023.findings-acl.768,ACL2023
140,453,Graph Reasoning for Question Answering with Triplet Retrieval,,,10.18653/v1/2023.findings-acl.208,ACL2023
141,456,Teaching the Pre-trained Model to Generate Simple Texts for Text Simplification,Virtual Poster,,10.18653/v1/2023.findings-acl.595,ACL2023
142,466,Clustering-Aware Negative Sampling for Unsupervised Sentence Representation,,,10.18653/v1/2023.findings-acl.555,ACL2023
143,467,HiPool: Modeling Long Documents Using Graph Neural Networks,Posters,,10.18653/v1/2023.acl-short.16,ACL2023
144,468,Reasoning Implicit Sentiment with Chain-of-Thought Prompting,Posters,,10.18653/v1/2023.acl-short.101,ACL2023
145,469,Contrastive Token-Wise Meta-Learning for Unseen Performer Visual Temporal-Aligned Translation,,,10.18653/v1/2023.findings-acl.699,ACL2023
146,471,Text Augmented Open Knowledge Graph Completion via Pre-Trained Language Models,Virtual Poster,,10.18653/v1/2023.findings-acl.709,ACL2023
147,472,Enhancing Language Representation with Constructional Information for Natural Language Understanding,Virtual Poster,,10.18653/v1/2023.acl-long.258,ACL2023
148,474,Bootstrapping Neural Relation and Explanation Classifiers,Virtual Poster,,10.18653/v1/2023.acl-short.5,ACL2023
149,477,Counterfactual Multihop QA: A Cause-Effect Approach for Reducing Disconnected Reasoning,Virtual Poster,,10.18653/v1/2023.acl-long.231,ACL2023
150,481,Envisioning Future from the Past: Hierarchical Duality Learning for Multi-Turn Dialogue Generation,Dialogue and Interactive Systems,False,10.18653/v1/2023.acl-long.407,ACL2023
151,485,Learned Adapters Are Better Than Manually Designed Adapters,,,10.18653/v1/2023.findings-acl.468,ACL2023
152,486,AD-KD: Attribution-Driven Knowledge Distillation for Language Model Compression,Virtual Poster,,10.18653/v1/2023.acl-long.471,ACL2023
153,487,ParaLS: Lexical Substitution via Pretrained Paraphraser,Virtual Poster,,10.18653/v1/2023.acl-long.206,ACL2023
154,488,I am PsyAM: Modeling Happiness with Cognitive Appraisal Dimensions,,,10.18653/v1/2023.findings-acl.77,ACL2023
155,491,End-to-End Simultaneous Speech Translation with Differentiable Segmentation,,,10.18653/v1/2023.findings-acl.485,ACL2023
156,495,Code Execution with Pre-trained Language Models,Virtual Poster,,10.18653/v1/2023.findings-acl.308,ACL2023
157,496,SPEECH: Structured Prediction with Energy-Based Event-Centric Hyperspheres,Posters,,10.18653/v1/2023.acl-long.21,ACL2023
158,501,Revisiting Event Argument Extraction: Can EAE Models Learn Better When Being Aware of Event Co-occurrences?,Virtual Poster,,10.18653/v1/2023.acl-long.701,ACL2023
159,505,Accelerating Transformer Inference for Translation via Parallel Decoding,Posters,,10.18653/v1/2023.acl-long.689,ACL2023
160,510,Evaluation for Change,,,10.18653/v1/2023.findings-acl.522,ACL2023
161,511,Contrastive Decoding: Open-ended Text Generation as Optimization,Virtual Poster,,10.18653/v1/2023.acl-long.687,ACL2023
162,514,PuMer: Pruning and Merging Tokens for Efficient Vision Language Models,Virtual Poster,,10.18653/v1/2023.acl-long.721,ACL2023
163,518,From Characters to Words: Hierarchical Pre-trained Language Model for Open-vocabulary Language Understanding,Virtual Poster,,10.18653/v1/2023.acl-long.200,ACL2023
164,521,Distilling Script Knowledge from Large Language Models for Constrained Language Planning,Posters,,10.18653/v1/2023.acl-long.236,ACL2023
165,522,Target-Based Offensive Language Identification,Posters,,10.18653/v1/2023.acl-short.66,ACL2023
166,525,G-Tuning: Improving Generalization of Pre-trained Language Models with Generative Adversarial Network,,,10.18653/v1/2023.findings-acl.291,ACL2023
167,526,Causality-aware Concept Extraction based on Knowledge-guided Prompting,Posters,,10.18653/v1/2023.acl-long.514,ACL2023
168,527,CONE: An Efficient COarse-to-fiNE Alignment Framework for Long Video Temporal Grounding,Virtual Poster,,10.18653/v1/2023.acl-long.445,ACL2023
169,530,Zero-shot Faithful Factual Error Correction,Posters,,10.18653/v1/2023.acl-long.311,ACL2023
170,532,Vision Language Pre-training by Contrastive Learning with Cross-Modal Similarity Regulation,Speech and Multimodality,False,10.18653/v1/2023.acl-long.819,ACL2023
171,533,Self-adaptive Context and Modal-interaction Modeling For Multimodal Emotion Recognition,,,10.18653/v1/2023.findings-acl.390,ACL2023
172,534,Exploiting Pseudo Image Captions for Multimodal Summarization,,,10.18653/v1/2023.findings-acl.12,ACL2023
173,535,Boosting Event Extraction with Denoised Structure-to-Text Augmentation,,,10.18653/v1/2023.findings-acl.716,ACL2023
174,536,HistRED: A Historical Document-Level Relation Extraction Dataset,Posters,,10.18653/v1/2023.acl-long.180,ACL2023
175,539,Improving Zero-shot Multilingual Neural Machine Translation by Leveraging Cross-lingual Consistency Regularization,,,10.18653/v1/2023.findings-acl.766,ACL2023
176,540,ConFEDE: Contrastive Feature Decomposition for Multimodal Sentiment Analysis,Posters,,10.18653/v1/2023.acl-long.421,ACL2023
177,541,MixPAVE: Mix-Prompt Tuning for Few-shot Product Attribute Value Extraction,Virtual Poster,,10.18653/v1/2023.findings-acl.633,ACL2023
178,544,Non-Sequential Graph Script Induction via Multimedia Grounding,Posters,,10.18653/v1/2023.acl-long.303,ACL2023
179,547,Unified Demonstration Retriever for In-Context Learning,Large Language Models,False,10.18653/v1/2023.acl-long.256,ACL2023
180,548,FastDiff 2: Revisiting and Incorporating GANs and Diffusion Models in High-Fidelity Speech Synthesis,Findings Spotlights II,,10.18653/v1/2023.findings-acl.437,ACL2023
181,549,Investigating Transformer-Guided Chaining for Interpretable Natural Logic Reasoning,Virtual Poster,,10.18653/v1/2023.findings-acl.588,ACL2023
182,550,Rethinking Annotation: Can Language Learners Contribute?,Posters,,10.18653/v1/2023.acl-long.822,ACL2023
183,553,Prosody-TTS: Improving Prosody with Masked Autoencoder and Conditional Diffusion Model For Expressive Text-to-Speech,Virtual Poster,,10.18653/v1/2023.findings-acl.508,ACL2023
184,555,AV-TranSpeech: Audio-Visual Robust Speech-to-Speech Translation,Virtual Poster,,10.18653/v1/2023.acl-long.479,ACL2023
185,558,Fantastic Expressions and Where to Find Them: Chinese Simile Generation with Multiple Constraints,Virtual Poster,,10.18653/v1/2023.acl-long.28,ACL2023
186,563,Exploring the Capacity of Pretrained Language Models for Reasoning about Actions and Change,Virtual Poster,,10.18653/v1/2023.acl-long.255,ACL2023
187,568,PromptRank: Unsupervised Keyphrase Extraction Using Prompt,Virtual Poster,,10.18653/v1/2023.acl-long.545,ACL2023
188,571,Beyond Positive Scaling: How Negation Impacts Scaling Trends of Language Models,Virtual Poster,,10.18653/v1/2023.findings-acl.472,ACL2023
189,576,"From the One, Judge of the Whole: Typed Entailment Graph Construction with Predicate Generation",Posters,,10.18653/v1/2023.acl-long.196,ACL2023
190,578,Decouple knowledge from paramters for plug-and-play language modeling,,,10.18653/v1/2023.findings-acl.901,ACL2023
191,581,An Embarrassingly Easy but Strong Baseline for Nested Named Entity Recognition,Virtual Poster,,10.18653/v1/2023.acl-short.123,ACL2023
192,582,Generating Hashtags for Short-form Videos with Guided Signals,Virtual Poster,,10.18653/v1/2023.acl-long.527,ACL2023
193,584,HiFi: High-Information Attention Heads Hold for Parameter-Efficient Model Adaptation,Virtual Poster,,10.18653/v1/2023.acl-long.475,ACL2023
194,585,UTC-IE: A Unified Token-pair Classification Architecture for Information Extraction,Virtual Poster,,10.18653/v1/2023.acl-long.226,ACL2023
195,586,Class Lifelong Learning for Intent Detection via Structure Consolidation Networks,,,10.18653/v1/2023.findings-acl.20,ACL2023
196,589,Disentangled Phonetic Representation for Chinese Spelling Correction,Virtual Poster,,10.18653/v1/2023.acl-long.755,ACL2023
197,590,How does the task complexity of masked pretraining objectives affect downstream performance?,Findings Spotlights II,,10.18653/v1/2023.findings-acl.669,ACL2023
198,594,PAL: Persona-Augmented Emotional Support Conversation Generation,,,10.18653/v1/2023.findings-acl.34,ACL2023
199,596,Can Language Models Make Fun? A Case Study in Chinese Comical Crosstalk,Virtual Poster,,10.18653/v1/2023.acl-long.419,ACL2023
200,598,What Is Overlap Knowledge in Event Argument Extraction? APE: A Cross-datasets Transfer Learning Model for EAE,Virtual Poster,,10.18653/v1/2023.acl-long.24,ACL2023
201,599,CELDA: Leveraging Black-box Language Model as Enhanced Classifier without Labels,Posters,,10.18653/v1/2023.acl-long.239,ACL2023
202,600,MM-SHAP: A Performance-agnostic Metric for Measuring Multimodal Contributions in Vision and Language Models & Tasks,Posters,,10.18653/v1/2023.acl-long.223,ACL2023
203,601,Are You Copying My Model? Protecting the Copyright of Large Language Models for EaaS via Backdoor Watermark,Virtual Poster,,10.18653/v1/2023.acl-long.423,ACL2023
204,604,Learning Query Adaptive Anchor Representation for Inductive Relation Prediction,Virtual Poster,,10.18653/v1/2023.findings-acl.882,ACL2023
205,605,Shrinking Embeddings for Hyper-Relational Knowledge Graphs,Posters,,10.18653/v1/2023.acl-long.743,ACL2023
206,606,On Text-based Personality Computing: Challenges and Future Directions,Virtual Poster,,10.18653/v1/2023.findings-acl.691,ACL2023
207,608,Cross-View Language Modeling: Towards Unified Cross-Lingual Cross-Modal Pre-training,Virtual Poster,,10.18653/v1/2023.acl-long.315,ACL2023
